Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty West,2015,5,1,0.4,0.2,0.2,0.2,—,—,—,—,—
Admiralty West,2015,5,2,7.6,7.2,7.6,7.6,—,—,—,—,—
Admiralty West,2015,5,3,80,32.4,47.2,70.4,—,—,—,—,—
Admiralty West,2015,5,4,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,5,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,6,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,7,5,3,4.6,5,—,—,—,—,—
Admiralty West,2015,5,8,10,9,9,9,—,—,—,—,—
Admiralty West,2015,5,9,0.2,0.2,0.2,0.2,—,—,—,—,—
Admiralty West,2015,5,10,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,11,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,12,26.4,22.4,26.4,26.4,—,—,—,—,—
Admiralty West,2015,5,13,36,13.8,20.4,21,—,—,—,—,—
Admiralty West,2015,5,14,3,1.6,2.8,3,—,—,—,—,—
Admiralty West,2015,5,15,1,0.4,0.6,0.6,—,—,—,—,—
Admiralty West,2015,5,16,3,1.6,1.6,2.8,—,—,—,—,—
Admiralty West,2015,5,17,54,30.8,48.4,54,—,—,—,—,—
Admiralty West,2015,5,18,22.2,8.6,14.8,22,—,—,—,—,—
Admiralty West,2015,5,19,3.6,3.6,3.6,3.6,—,—,—,—,—
Admiralty West,2015,5,20,71,34.2,34.4,36.6,—,—,—,—,—
Admiralty West,2015,5,21,0.2,0.2,0.2,0.2,—,—,—,—,—
Admiralty West,2015,5,22,3.2,3.2,3.2,3.2,—,—,—,—,—
Admiralty West,2015,5,23,10.4,4.4,4.4,4.4,—,—,—,—,—
Admiralty West,2015,5,24,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,25,23.8,13,21,23.6,—,—,—,—,—
Admiralty West,2015,5,26,6.6,6,6.2,6.2,—,—,—,—,—
Admiralty West,2015,5,27,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,28,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,29,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,30,0,0,0,0,—,—,—,—,—
Admiralty West,2015,5,31,0,0,0,0,—,—,—,—,—
