Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Boon Lay (West),2015,2,1,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,2,7.6,6.2,6.2,7.4,—,—,—,—,—
Boon Lay (West),2015,2,3,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Boon Lay (West),2015,2,5,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,6,12.2,5.8,6.6,8.8,—,—,—,—,—
Boon Lay (West),2015,2,7,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,8,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,9,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,10,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,11,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,12,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,13,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,14,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,15,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,16,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,17,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,18,5.8,3.6,5,5.4,—,—,—,—,—
Boon Lay (West),2015,2,19,29.8,17,24.4,26.4,—,—,—,—,—
Boon Lay (West),2015,2,20,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,21,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,22,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,23,2.2,2,2.2,2.2,—,—,—,—,—
Boon Lay (West),2015,2,24,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,25,33.6,27,33.4,33.6,—,—,—,—,—
Boon Lay (West),2015,2,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Boon Lay (West),2015,2,27,0,0,0,0,—,—,—,—,—
Boon Lay (West),2015,2,28,0,0,0,0,—,—,—,—,—
