Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Botanic Garden,2014,12,1,5,1.8,2,3,—,—,—,—,—
Botanic Garden,2014,12,2,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,3,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,4,36.6,17.4,24.8,28.8,—,—,—,—,—
Botanic Garden,2014,12,5,0.2,0.2,0.2,0.2,—,—,—,—,—
Botanic Garden,2014,12,6,7.8,3,5.6,7,—,—,—,—,—
Botanic Garden,2014,12,7,57.2,45,50,50.4,—,—,—,—,—
Botanic Garden,2014,12,8,4,3.2,3.6,3.8,—,—,—,—,—
Botanic Garden,2014,12,9,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,10,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,11,5.6,4.2,5.4,5.4,—,—,—,—,—
Botanic Garden,2014,12,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Botanic Garden,2014,12,13,55.4,25.4,45.4,55.2,—,—,—,—,—
Botanic Garden,2014,12,14,0.4,0.4,0.4,0.4,—,—,—,—,—
Botanic Garden,2014,12,15,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,16,1,0.6,0.8,1,—,—,—,—,—
Botanic Garden,2014,12,17,38.2,21.8,30,36.4,—,—,—,—,—
Botanic Garden,2014,12,18,0.8,0.6,0.8,0.8,—,—,—,—,—
Botanic Garden,2014,12,19,32.2,13.6,18,20.4,—,—,—,—,—
Botanic Garden,2014,12,20,17.2,15.8,17,17,—,—,—,—,—
Botanic Garden,2014,12,21,8.8,7.2,8.4,8.6,—,—,—,—,—
Botanic Garden,2014,12,22,0.2,0.2,0.2,0.2,—,—,—,—,—
Botanic Garden,2014,12,23,7.8,7.6,7.8,7.8,—,—,—,—,—
Botanic Garden,2014,12,24,13.8,10.8,13.2,13.6,—,—,—,—,—
Botanic Garden,2014,12,25,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,26,50,14.4,27.8,34.6,—,—,—,—,—
Botanic Garden,2014,12,27,51.4,23.8,23.8,24.2,—,—,—,—,—
Botanic Garden,2014,12,28,3,2.4,2.6,2.6,—,—,—,—,—
Botanic Garden,2014,12,29,5.8,3.4,4.6,5.8,—,—,—,—,—
Botanic Garden,2014,12,30,0,0,0,0,—,—,—,—,—
Botanic Garden,2014,12,31,0,0,0,0,—,—,—,—,—
