Date,Year,WW,Month,PSI,RegionId
1/1/2016,2016,1,1,33.95833333,1
1/2/2016,2016,1,1,43.95833333,1
1/3/2016,2016,2,1,42.83333333,1
1/4/2016,2016,2,1,35.29166667,1
1/5/2016,2016,2,1,38.16666667,1
1/6/2016,2016,2,1,35.45833333,1
1/7/2016,2016,2,1,37.41666667,1
1/8/2016,2016,2,1,33.70833333,1
1/9/2016,2016,2,1,36.25,1
1/10/2016,2016,3,1,40.25,1
1/11/2016,2016,3,1,37.20833333,1
1/12/2016,2016,3,1,38.70833333,1
1/13/2016,2016,3,1,38,1
1/14/2016,2016,3,1,44.29166667,1
1/15/2016,2016,3,1,40.66666667,1
1/16/2016,2016,3,1,53.33333333,1
1/17/2016,2016,4,1,52.625,1
1/18/2016,2016,4,1,52.58333333,1
1/19/2016,2016,4,1,51.33333333,1
1/20/2016,2016,4,1,51.41666667,1
1/21/2016,2016,4,1,39.58333333,1
1/22/2016,2016,4,1,50.54166667,1
1/23/2016,2016,4,1,34.83333333,1
1/24/2016,2016,5,1,35.125,1
1/25/2016,2016,5,1,38.66666667,1
1/26/2016,2016,5,1,36.33333333,1
1/27/2016,2016,5,1,36.41666667,1
1/28/2016,2016,5,1,38.16666667,1
1/29/2016,2016,5,1,48.75,1
1/30/2016,2016,5,1,39.83333333,1
1/31/2016,2016,6,1,36.875,1
2/1/2016,2016,6,2,35.83333333,1
2/2/2016,2016,6,2,47.5,1
2/3/2016,2016,6,2,40.58333333,1
2/4/2016,2016,6,2,35.79166667,1
2/5/2016,2016,6,2,34.41666667,1
2/6/2016,2016,6,2,36.75,1
2/7/2016,2016,7,2,38.20833333,1
2/8/2016,2016,7,2,53.83333333,1
2/9/2016,2016,7,2,57.33333333,1
2/10/2016,2016,7,2,53.125,1
2/11/2016,2016,7,2,33.16666667,1
2/12/2016,2016,7,2,33.08333333,1
2/13/2016,2016,7,2,36.5,1
2/14/2016,2016,8,2,40.20833333,1
2/15/2016,2016,8,2,45.20833333,1
2/16/2016,2016,8,2,48.08333333,1
2/17/2016,2016,8,2,51.375,1
2/18/2016,2016,8,2,55.29166667,1
2/19/2016,2016,8,2,41.5,1
2/20/2016,2016,8,2,39.5,1
2/21/2016,2016,9,2,51.79166667,1
2/22/2016,2016,9,2,44.41666667,1
2/23/2016,2016,9,2,45.95833333,1
2/24/2016,2016,9,2,47.5,1
2/25/2016,2016,9,2,43.08333333,1
2/26/2016,2016,9,2,48.20833333,1
2/27/2016,2016,9,2,41.25,1
2/28/2016,2016,10,2,43.95833333,1
2/29/2016,2016,10,2,47.41666667,1
3/1/2016,2016,10,3,44.83333333,1
3/2/2016,2016,10,3,50.95833333,1
3/3/2016,2016,10,3,45.95833333,1
3/4/2016,2016,10,3,46.54166667,1
3/5/2016,2016,10,3,41.125,1
3/6/2016,2016,11,3,41.54166667,1
3/7/2016,2016,11,3,39.25,1
3/8/2016,2016,11,3,49.95833333,1
3/9/2016,2016,11,3,51.75,1
3/10/2016,2016,11,3,50.45833333,1
3/11/2016,2016,11,3,54.41666667,1
3/12/2016,2016,11,3,46.125,1
3/13/2016,2016,12,3,41.29166667,1
3/14/2016,2016,12,3,50.33333333,1
3/15/2016,2016,12,3,53.08333333,1
3/16/2016,2016,12,3,51.16666667,1
3/17/2016,2016,12,3,54,1
3/18/2016,2016,12,3,55.95833333,1
3/19/2016,2016,12,3,59.375,1
3/20/2016,2016,13,3,57.25,1
3/21/2016,2016,13,3,59.625,1
3/22/2016,2016,13,3,59.5,1
3/23/2016,2016,13,3,58.5,1
3/24/2016,2016,13,3,57.5,1
3/25/2016,2016,13,3,58.95833333,1
3/26/2016,2016,13,3,57.08333333,1
3/27/2016,2016,14,3,56.875,1
3/28/2016,2016,14,3,57.20833333,1
3/29/2016,2016,14,3,63.375,1
3/30/2016,2016,14,3,77.20833333,1
3/31/2016,2016,14,3,73.70833333,1
4/1/2016,2016,14,4,68.45833333,1
4/2/2016,2016,14,4,68.58333333,1
4/3/2016,2016,15,4,59.33333333,1
4/4/2016,2016,15,4,56.41666667,1
4/5/2016,2016,15,4,55.625,1
4/6/2016,2016,15,4,55.125,1
4/7/2016,2016,15,4,59.08333333,1
4/8/2016,2016,15,4,61.95833333,1
4/9/2016,2016,15,4,62.25,1
4/10/2016,2016,16,4,61,1
4/11/2016,2016,16,4,58.58333333,1
4/12/2016,2016,16,4,67.91666667,1
4/13/2016,2016,16,4,63.95833333,1
4/14/2016,2016,16,4,67.58333333,1
4/15/2016,2016,16,4,58.29166667,1
4/16/2016,2016,16,4,56.75,1
4/17/2016,2016,17,4,58.375,1
4/18/2016,2016,17,4,58.41666667,1
4/19/2016,2016,17,4,67.79166667,1
4/20/2016,2016,17,4,60.33333333,1
4/21/2016,2016,17,4,59.08333333,1
4/22/2016,2016,17,4,58.08333333,1
4/23/2016,2016,17,4,56.04166667,1
4/24/2016,2016,18,4,59.16666667,1
4/25/2016,2016,18,4,52.91666667,1
4/26/2016,2016,18,4,61.58333333,1
4/27/2016,2016,18,4,67.04166667,1
4/28/2016,2016,18,4,70.41666667,1
4/29/2016,2016,18,4,70.58333333,1
4/30/2016,2016,18,4,68.83333333,1
5/1/2016,2016,19,5,64.79166667,1
5/2/2016,2016,19,5,55.66666667,1
5/3/2016,2016,19,5,61.04166667,1
5/4/2016,2016,19,5,54.54166667,1
5/5/2016,2016,19,5,52.79166667,1
5/6/2016,2016,19,5,61,1
5/7/2016,2016,19,5,63.5,1
5/8/2016,2016,20,5,62.125,1
5/9/2016,2016,20,5,58.58333333,1
5/10/2016,2016,20,5,51.875,1
5/11/2016,2016,20,5,53.95833333,1
5/12/2016,2016,20,5,57.58333333,1
5/13/2016,2016,20,5,60.20833333,1
5/14/2016,2016,20,5,59.625,1
5/15/2016,2016,21,5,55.95833333,1
5/16/2016,2016,21,5,53.33333333,1
5/17/2016,2016,21,5,63.16666667,1
5/18/2016,2016,21,5,69.70833333,1
5/19/2016,2016,21,5,58.75,1
5/20/2016,2016,21,5,57.375,1
5/21/2016,2016,21,5,55.29166667,1
5/22/2016,2016,22,5,32.875,1
5/23/2016,2016,22,5,51.41666667,1
5/24/2016,2016,22,5,56.70833333,1
5/25/2016,2016,22,5,47.875,1
5/26/2016,2016,22,5,45.70833333,1
5/27/2016,2016,22,5,39.29166667,1
5/28/2016,2016,22,5,37.25,1
5/29/2016,2016,23,5,45.08333333,1
5/30/2016,2016,23,5,53.45833333,1
5/31/2016,2016,23,5,54.75,1
6/1/2016,2016,23,6,63.54166667,1
6/2/2016,2016,23,6,59.25,1
6/3/2016,2016,23,6,67.54166667,1
6/4/2016,2016,23,6,63.95833333,1
6/5/2016,2016,24,6,62.58333333,1
6/6/2016,2016,24,6,60.375,1
6/7/2016,2016,24,6,58.625,1
6/8/2016,2016,24,6,62.375,1
6/9/2016,2016,24,6,66.16666667,1
6/10/2016,2016,24,6,62.08333333,1
6/11/2016,2016,24,6,56.91666667,1
6/12/2016,2016,25,6,51.33333333,1
6/13/2016,2016,25,6,54.70833333,1
6/14/2016,2016,25,6,58.54166667,1
6/15/2016,2016,25,6,62.625,1
6/16/2016,2016,25,6,60.58333333,1
6/17/2016,2016,25,6,56.29166667,1
6/18/2016,2016,25,6,43.33333333,1
6/19/2016,2016,26,6,56.95833333,1
6/20/2016,2016,26,6,54.16666667,1
6/21/2016,2016,26,6,58.04166667,1
6/22/2016,2016,26,6,61.16666667,1
6/23/2016,2016,26,6,54.375,1
6/24/2016,2016,26,6,47.16666667,1
6/25/2016,2016,26,6,51.91666667,1
6/26/2016,2016,27,6,45.66666667,1
6/27/2016,2016,27,6,52.70833333,1
6/28/2016,2016,27,6,46,1
6/29/2016,2016,27,6,56.41666667,1
6/30/2016,2016,27,6,59.875,1
7/1/2016,2016,27,7,65.04166667,1
7/2/2016,2016,27,7,62.375,1
7/3/2016,2016,28,7,58.25,1
7/4/2016,2016,28,7,53.83333333,1
7/5/2016,2016,28,7,55.41666667,1
7/6/2016,2016,28,7,52,1
7/7/2016,2016,28,7,55.5,1
7/8/2016,2016,28,7,53.875,1
7/9/2016,2016,28,7,61.5,1
7/10/2016,2016,29,7,56.33333333,1
7/11/2016,2016,29,7,64.91666667,1
7/12/2016,2016,29,7,54.33333333,1
7/13/2016,2016,29,7,52.875,1
7/14/2016,2016,29,7,59.83333333,1
7/15/2016,2016,29,7,59.625,1
7/16/2016,2016,29,7,55.75,1
7/17/2016,2016,30,7,55.08333333,1
7/18/2016,2016,30,7,57.41666667,1
7/19/2016,2016,30,7,54.625,1
7/20/2016,2016,30,7,48.45833333,1
7/21/2016,2016,30,7,56.125,1
7/22/2016,2016,30,7,61.33333333,1
7/23/2016,2016,30,7,55.08333333,1
7/24/2016,2016,31,7,48.20833333,1
7/25/2016,2016,31,7,50.08333333,1
7/26/2016,2016,31,7,57.75,1
7/27/2016,2016,31,7,62.54166667,1
7/28/2016,2016,31,7,60.875,1
7/29/2016,2016,31,7,59.125,1
7/30/2016,2016,31,7,54.75,1
7/31/2016,2016,32,7,58.5,1
8/1/2016,2016,32,8,59.29166667,1
8/2/2016,2016,32,8,55.70833333,1
8/3/2016,2016,32,8,55.70833333,1
8/4/2016,2016,32,8,55.16666667,1
8/5/2016,2016,32,8,54.70833333,1
8/6/2016,2016,32,8,54.79166667,1
8/7/2016,2016,33,8,60.29166667,1
8/8/2016,2016,33,8,62.75,1
8/9/2016,2016,33,8,67.375,1
8/10/2016,2016,33,8,58.70833333,1
8/11/2016,2016,33,8,55.25,1
8/12/2016,2016,33,8,58.375,1
8/13/2016,2016,33,8,61.08333333,1
