Year,WW,PSI,RegionId
2016,1,38.95833333,247
2016,2,37.01785714,247
2016,3,41.7797619,247
2016,4,47.55952381,247
2016,5,39.04166667,247
2016,6,38.25,247
2016,7,43.60714286,247
2016,8,45.88095238,247
2016,9,46.0297619,247
2016,10,45.82738095,247
2016,11,47.64285714,247
2016,12,52.17261905,247
2016,13,58.34523809,247
2016,14,66.48809524,247
2016,15,58.54166667,247
2016,16,62.01190476,247
2016,17,59.73214286,247
2016,18,64.36309524,247
2016,19,59.04761905,247
2016,20,57.70833333,247
2016,21,59.08333333,247
2016,22,44.44642857,247
2016,23,58.22619048,247
2016,24,61.30357143,247
2016,25,55.34523809,247
2016,26,54.82738095,247
2016,27,55.44047619,247
2016,28,55.76785714,247
2016,29,57.66666667,247
2016,30,55.44642857,247
2016,31,56.19047619,247
2016,32,56.26785714,247
2016,33,60.54761905,247
2016,34,54.03571429,247
2016,35,69.46428572,247
2016,36,85.04166667,247
2016,1,35.625,700
2016,2,37.375,700
2016,3,43.64880952,700
2016,4,50.38690476,700
2016,5,45.67261905,700
2016,6,39.76785714,700
2016,7,47.48809524,700
2016,8,47.22619048,700
2016,9,49.93452381,700
2016,10,51.02976191,700
2016,11,51.71428571,700
2016,12,56.66666667,700
2016,13,62.5952381,700
2016,14,68.83928571,700
2016,15,57.96428571,700
2016,16,64.85714286,700
2016,17,58.95238095,700
2016,18,57.94642857,700
2016,19,54.70833333,700
2016,20,53.94642857,700
2016,21,55.27380952,700
2016,22,43.80952381,700
2016,23,54.56547619,700
2016,24,58.20238095,700
2016,25,43.4702381,700
2016,26,52.99404762,700
2016,27,50.4047619,700
2016,28,50.03571429,700
2016,29,48.09523809,700
2016,30,54.00595238,700
2016,31,48.33333333,700
2016,32,52.94047619,700
2016,33,57.58333333,700
2016,34,48.26785714,700
2016,35,57.76785714,700
2016,36,62.875,700
2016,1,44.85416667,314
2016,2,39.83928571,314
2016,3,41.29166667,314
2016,4,50.29761905,314
2016,5,49.3452381,314
2016,6,44.22023809,314
2016,7,48.66071429,314
2016,8,48.71428571,314
2016,9,54.13690476,314
2016,10,51.78571429,314
2016,11,47.80952381,314
2016,12,54.08333333,314
2016,13,59.39880952,314
2016,14,62.76190476,314
2016,15,55.33928571,314
2016,16,60.39285714,314
2016,17,57.41071429,314
2016,18,55.07142857,314
2016,19,50.95238095,314
2016,20,50.69642857,314
2016,21,53.17261905,314
2016,22,41.79166667,314
2016,23,54.11904762,314
2016,24,55.17261905,314
2016,25,41.53571429,314
2016,26,50.19047619,314
2016,27,45.94047619,314
2016,28,45.375,314
2016,29,43.01785714,314
2016,30,52.4702381,314
2016,31,47.43452381,314
2016,32,49.27380952,314
2016,33,55.05952381,314
2016,34,46.26190476,314
2016,35,52.02380952,314
2016,36,62,314
2016,1,29.125,439
2016,2,37.875,439
2016,3,45.64880953,439
2016,4,49.11904762,439
2016,5,42.22619048,439
2016,6,38.88095238,439
2016,7,43.67857143,439
2016,8,41.54166667,439
2016,9,47.67261905,439
2016,10,47.74404762,439
2016,11,43.13095238,439
2016,12,54.43452381,439
2016,13,62.08333333,439
2016,14,63.58333333,439
2016,15,61.10714286,439
2016,16,60.14285714,439
2016,17,59.94642857,439
2016,18,62.5,439
2016,19,56.74404762,439
2016,20,53.88690476,439
2016,21,52.2797619,439
2016,22,41.53571428,439
2016,23,52.56547619,439
2016,24,57.75,439
2016,25,40.63095238,439
2016,26,50.36309524,439
2016,27,48.23214286,439
2016,28,51.28571428,439
2016,29,51.16071428,439
2016,30,43.96428571,439
2016,31,51.60714286,439
2016,32,52.60119048,439
2016,33,57.20238095,439
2016,34,48.14285714,439
2016,35,62.47619048,439
2016,36,69.29166667,439
2016,1,35.20833334,604
2016,2,41.33333333,604
2016,3,46.27380952,604
2016,4,49.05952381,604
2016,5,45.20833333,604
2016,6,41.26190476,604
2016,7,47.80357143,604
2016,8,46.54166667,604
2016,9,48.75,604
2016,10,48.40476191,604
2016,11,48.73809524,604
2016,12,55.58928571,604
2016,13,60.98809524,604
2016,14,68.44642857,604
2016,15,56.9702381,604
2016,16,62.21428571,604
2016,17,57.50595238,604
2016,18,59.40476191,604
2016,19,54.27380952,604
2016,20,51.86309524,604
2016,21,56.04761905,604
2016,22,39.35119048,604
2016,23,54.16071428,604
2016,24,57.14880953,604
2016,25,41.3452381,604
2016,26,50.60119047,604
2016,27,47.92857143,604
2016,28,47.08928571,604
2016,29,45.38690476,604
2016,30,50.94642857,604
2016,31,49.02380953,604
2016,32,52.47023809,604
2016,33,56.83333333,604
2016,34,44.57142857,604
2016,35,57.23809524,604
2016,36,65.73611111,604
