Date,Year,WW,Month,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
1/1/2016,2016,1,1,1.1,0.5,0.5,0.5,NULL,29.8,25.8,16.6,46.4,1
1/2/2016,2016,1,1,32.4,14.5,23.5,29,NULL,28.4,23.3,10.4,37.1,1
1/3/2016,2016,2,1,10.1,4,5,5,NULL,27.6,24.9,10.1,25.9,1
1/4/2016,2016,2,1,0.2,0.5,0.5,0.5,NULL,33,25.5,12.2,33.5,1
1/5/2016,2016,2,1,0,NULL,NULL,NULL,NULL,33.5,26.4,14,31.3,1
1/6/2016,2016,2,1,0,NULL,NULL,NULL,NULL,32.6,26.2,14.4,40.7,1
1/7/2016,2016,2,1,0,NULL,NULL,NULL,NULL,33.2,25.7,17.3,37.1,1
1/8/2016,2016,2,1,0,0,0,0,NULL,33.7,26.2,15.8,37.1,1
1/9/2016,2016,2,1,0,0,0,0,NULL,33.5,26.5,18,38.9,1
1/10/2016,2016,3,1,0,0,0,0,NULL,33.8,26,13.7,35.3,1
1/11/2016,2016,3,1,0,0,0,0,NULL,34,25.7,13.3,35.3,1
1/12/2016,2016,3,1,0,0,0,0,NULL,33.6,27,15.8,33.5,1
1/13/2016,2016,3,1,0,0,0,0,NULL,33.9,26.5,14.8,35.3,1
1/14/2016,2016,3,1,0,0,0,0,NULL,33.8,26.6,14.4,35.3,1
1/15/2016,2016,3,1,1.9,3.5,3.5,3.5,NULL,33.2,26.2,8.6,33.5,1
1/16/2016,2016,3,1,4.7,3.5,5,5,NULL,33.2,25.7,6.1,27.7,1
1/17/2016,2016,4,1,9.4,9.5,9.5,10.5,NULL,31.8,25.2,6.8,33.5,1
1/18/2016,2016,4,1,0,0,0,0,NULL,34.2,26.2,7.9,27.7,1
1/19/2016,2016,4,1,1,1.5,1.5,1.5,NULL,32.4,27,13.7,38.9,1
1/20/2016,2016,4,1,0.3,0,0,0,NULL,32.4,26.6,10.4,31.3,1
1/21/2016,2016,4,1,0.8,0.5,0.5,0.5,NULL,32,26.5,14.4,35.3,1
1/22/2016,2016,4,1,4,1,1,1,NULL,32.1,27,12.6,35.3,1
1/23/2016,2016,4,1,9.6,5.5,8,8,NULL,33.4,26,16.9,38.9,1
1/24/2016,2016,5,1,0.1,0,0,0,NULL,33.4,26.6,22,50,1
1/25/2016,2016,5,1,2.1,2,2,2,NULL,33,25.7,20.2,55.4,1
1/26/2016,2016,5,1,6.3,2,2,2.5,NULL,30.1,26.2,14,37.1,1
1/27/2016,2016,5,1,0,0,0,0,NULL,33.6,25.4,16.2,38.9,1
1/28/2016,2016,5,1,0,0,0,0,NULL,34.5,26.5,13,33.5,1
1/29/2016,2016,5,1,2,1,1,1.5,NULL,32.4,26.7,15.5,37.1,1
1/30/2016,2016,5,1,0,0,0,0,NULL,33.9,26.9,17.6,40.7,1
1/31/2016,2016,6,1,0,0,0,0,NULL,33.8,26.8,16.2,33.5,1
2/1/2016,2016,6,2,0,0,0,0,NULL,34.1,25.5,22,46.4,1
2/2/2016,2016,6,2,3.4,2,2,2,NULL,32.3,25.6,16.2,44.3,1
2/3/2016,2016,6,2,0,0,0,0,NULL,33.7,26.3,13.7,33.5,1
2/4/2016,2016,6,2,3.6,4,4,4,NULL,31.9,26,12.6,42.5,1
2/5/2016,2016,6,2,4.3,3.6,3.6,5,NULL,32.5,26.2,9,29.5,1
2/6/2016,2016,6,2,23.9,8.4,8.8,8.8,NULL,32.5,24.9,18.7,51.8,1
2/7/2016,2016,7,2,26.5,13.2,14.6,14.8,NULL,28.6,25.3,24.8,53.6,1
2/8/2016,2016,7,2,0.2,0.2,0.2,0.2,NULL,30.1,26.8,23.8,46.4,1
2/9/2016,2016,7,2,0,0,0,0,NULL,29.6,25.8,15.5,29.5,1
2/10/2016,2016,7,2,0,0,0,0,NULL,29.5,25.4,17.6,38.9,1
