Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,1,16.75,7.5,12,14.75,NULL,29.1,24.55,13.5,41.75,1
2016,2,1.471428571,1.125,1.375,1.375,NULL,32.44285714,25.91428571,14.54285714,34.92857143,1
2016,3,0.942857143,1,1.214285714,1.214285714,NULL,33.64285714,26.24285714,12.38571429,33.7,1
2016,4,3.585714286,2.571428571,2.928571429,3.071428571,NULL,32.61428571,26.35714286,11.81428571,34.41428571,1
2016,5,1.5,0.714285714,0.714285714,0.857142857,NULL,32.98571429,26.28571429,16.92857143,41.81428571,1
2016,6,5.028571429,2.571428571,2.628571429,2.828571429,NULL,32.97142857,25.9,15.48571429,40.21428571,1
2016,7,4.757142857,2.971428571,3.342857143,3.4,NULL,30.9,25.64285714,17.64285714,38.1,1
2016,8,16.28571429,3.457142857,4.971428571,6.771428571,NULL,31.67142857,25.17142857,15.4,39.14285714,1
2016,9,2.657142857,1.342857143,1.571428571,1.828571429,NULL,32.02857143,25.41428571,19.84285714,43.57142857,1
2016,10,0.171428571,0.057142857,0.057142857,0.057142857,NULL,32.62857143,26.27142857,21.85714286,45.24285714,1
2016,11,0.128571429,0.057142857,0.057142857,0.057142857,NULL,34.11428571,26.72857143,14.3,34.1,1
2016,12,3.271428571,2.685714286,2.742857143,2.742857143,NULL,34.07142857,25.88571429,13.48571429,32.04285714,1
2016,13,3.9,2.457142857,3.171428571,3.314285714,NULL,33.91428571,26.92857143,11.21428571,31.21428571,1
2016,14,0.3,0,0,0,NULL,34.14285714,26.57142857,18,43.14285714,1
2016,15,5.228571429,NULL,NULL,NULL,NULL,34.82857143,26.52857143,10.78571429,31.41428571,1
2016,16,7.771428571,NULL,NULL,NULL,NULL,34.42857143,26.6,10.02857143,31.98571429,1
2016,17,0.828571429,NULL,NULL,NULL,NULL,35.38571429,27.75714286,9.428571429,29.81428571,1
2016,18,11.07142857,NULL,NULL,NULL,NULL,33.31428571,26.28571429,7.257142857,28.78571429,1
2016,19,0.142857143,NULL,NULL,NULL,NULL,35.11428571,27.44285714,7.971428571,28.01428571,1
2016,20,6.557142857,NULL,NULL,NULL,NULL,33.87142857,26.78571429,7.771428571,30.44285714,1
2016,21,12.04285714,NULL,NULL,NULL,NULL,33.38571429,25.75714286,7.757142857,30.18571429,1
2016,22,7.814285714,NULL,NULL,NULL,NULL,33.51428571,26.57142857,9.671428571,37.52857143,1
2016,23,0.757142857,NULL,NULL,NULL,NULL,32.6,26.41428571,7.457142857,33.32857143,1
2016,24,3.014285714,NULL,NULL,NULL,NULL,32.77142857,26.38571429,8.685714286,33.12857143,1
2016,25,8.942857143,NULL,NULL,NULL,NULL,31.8,26.04285714,8.685714286,31.27142857,1
2016,26,11.01428571,NULL,NULL,NULL,NULL,32.07142857,25.18571429,8,30.12857143,1
2016,27,0.085714286,0,0,0,NULL,33.4,27.67142857,9.371428571,25.64285714,1
2016,28,2.114285714,1.4,1.428571429,1.8,NULL,33.2,27.1,10.9,31.72857143,1
2016,29,2.014285714,1.114285714,1.428571429,1.542857143,NULL,32,26,9.2,36.51428571,1
2016,30,17.85714286,6.8,8.457142857,9.571428571,NULL,31.78571429,24.38571429,8.157142857,32.55714286,1
2016,31,2.528571429,1.371428571,1.514285714,1.628571429,NULL,31.4,25.42857143,8.9,30.9,1
2016,32,8.542857143,7.428571429,8.285714286,8.714285714,NULL,32.57142857,24.92857143,10.9,35.11428571,1
2016,33,0.357142857,0.2,0.2,0.2,NULL,33.21428571,27.54285714,10.64285714,31.15714286,1
2016,34,3.357142857,2.342857143,2.657142857,2.8,NULL,33.24285714,25.82857143,12.81428571,35.18571429,1
2016,35,5.757142857,2.885714286,3.885714286,4.171428571,NULL,32.98571429,26.22857143,10.78571429,31.21428571,1
2016,36,3.025,1.05,1.25,1.3,NULL,32.55,25.9,9.175,31.95,1
2016,1,9.25,NULL,NULL,NULL,25.8,28.4,23.95,7,35.1,4
2016,2,1.271428571,NULL,NULL,NULL,28.08571429,32.88571429,24.3,12.91428571,35.44285714,4
2016,3,6.842857143,NULL,NULL,NULL,27.67142857,33.14285714,24.71428571,9.057142857,31.72857143,4
2016,4,8.371428571,NULL,NULL,NULL,27.2,32.6,24.51428571,9.114285714,34.81428571,4
2016,5,10.18571429,NULL,NULL,NULL,27.42857143,32.61428571,24.34285714,12.08571429,36.51428571,4
2016,6,3.114285714,NULL,NULL,NULL,27.48571429,32.68571429,24.24285714,11.74285714,35.62857143,4
2016,7,8.257142857,NULL,NULL,NULL,26.71428571,30.54285714,24.35714286,12.54285714,37.78571429,4
2016,8,20.52857143,NULL,NULL,NULL,26.81428571,31.6,23.42857143,10.81428571,34.88571429,4
2016,9,1.385714286,NULL,NULL,NULL,27.2,32.48571429,23.6,14.92857143,39.2,4
2016,10,1.742857143,NULL,NULL,NULL,27.9,33,24.67142857,16.1,41.77142857,4
2016,11,5.171428571,NULL,NULL,NULL,28.18571429,33.88571429,24.94285714,10.12857143,31.21428571,4
2016,12,0.7,NULL,NULL,NULL,28.38571429,34.34285714,24.6,9.514285714,27.95714286,4
2016,13,5.057142857,NULL,NULL,NULL,28.4,34.07142857,24.97142857,9.3,35.21428571,4
2016,14,0,NULL,NULL,NULL,29.11428571,34.92857143,25.02857143,14.65714286,36.27142857,4
2016,15,6.885714286,NULL,NULL,NULL,28.2,34.32857143,24.52857143,7.971428571,30.94285714,4
2016,16,5.957142857,NULL,NULL,NULL,28.71428571,34.24285714,25.34285714,7.871428571,35.62857143,4
2016,17,9.214285714,NULL,NULL,NULL,28.98,35.4,25,8.757142857,36.24285714,4
2016,18,5.557142857,NULL,NULL,NULL,27.88571429,33.64285714,24.94285714,6.257142857,28.07142857,4
2016,19,10.52857143,NULL,NULL,NULL,28.3,35.14285714,24.55714286,6.642857143,34.97142857,4
2016,20,6.728571429,NULL,NULL,NULL,28.13333333,33.9,25.1,5.742857143,32.8,4
2016,21,9.428571429,NULL,NULL,NULL,28.02857143,33.37142857,24.8,7.257142857,29.04285714,4
2016,22,7.857142857,NULL,NULL,NULL,28.74285714,33.74285714,25.01428571,8.028571429,29.04285714,4
2016,23,7.757142857,NULL,NULL,NULL,27.32857143,32.17142857,24.45714286,6.171428571,31.68571429,4
2016,24,12.38571429,NULL,NULL,NULL,27.47142857,32.45714286,24.14285714,7.3,32.5,4
2016,25,19.68571429,NULL,NULL,NULL,26.71428571,31.24285714,23.97142857,6.885714286,28.8,4
2016,26,8.071428571,NULL,NULL,NULL,27.32857143,31.74285714,23.77142857,6.428571429,26.98571429,4
2016,27,0.114285714,NULL,NULL,NULL,29.1,33.85714286,25.22857143,7.214285714,22.21428571,4
2016,28,11,NULL,NULL,NULL,28.82857143,33.41428571,24.51428571,9.271428571,30.7,4
2016,29,14.77142857,NULL,NULL,NULL,27.28571429,31.8,24.28571429,7.557142857,33.58571429,4
2016,30,13.91428571,NULL,NULL,NULL,26.94285714,31.78571429,23.32857143,6.457142857,31.72857143,4
2016,31,19.17142857,NULL,NULL,NULL,27.3,30.74285714,23.54285714,6.514285714,28.28571429,4
2016,32,2.8,NULL,NULL,NULL,28.11428571,32.55714286,23.98571429,9.128571429,35.17142857,4
2016,33,6.657142857,NULL,NULL,NULL,28.16,32.88571429,24.4,7.614285714,28.78571429,4
2016,34,9.457142857,NULL,NULL,NULL,28.65714286,33.4,23.48571429,10.58571429,37.02857143,4
2016,35,12.7,NULL,NULL,NULL,28.38,32.44285714,24.95714286,8.442857143,36.7,4
2016,36,1.425,NULL,NULL,NULL,28.1,32.4,24.5,7.45,26.025,4
2016,1,11.8,NULL,NULL,NULL,26.85,29.15,24.55,12.6,50.9,6
2016,2,0.471428571,NULL,NULL,NULL,28.18571429,31.9,25.87142857,15.4,36.78571429,6
2016,3,3.8,NULL,NULL,NULL,28.81428571,33.5,26.4,12.4,34.35714286,6
2016,4,7.771428571,NULL,NULL,NULL,28.32857143,32.25714286,26.01428571,11.11428571,38.41428571,6
2016,5,1.628571429,NULL,NULL,NULL,28.52857143,32.5,26.07142857,16.77142857,44.18571429,6
2016,6,4.142857143,NULL,NULL,NULL,28.6,32.37142857,26.1,14.4,38.05714286,6
2016,7,8.714285714,NULL,NULL,NULL,27.45714286,30.27142857,25.14285714,15.94285714,44.94285714,6
2016,8,11.65714286,NULL,NULL,NULL,27.82857143,31.55714286,25.6,16.05714286,42.88571429,6
2016,9,1.371428571,NULL,NULL,NULL,27.9,31.74285714,25.18571429,18.35714286,45.45714286,6
