Date,Year,WW,Month,UV_Index,RegionId
3/26/2016,2016,13,3,3,100
3/26/2016,2016,13,3,5,100
3/26/2016,2016,13,3,7,100
3/26/2016,2016,13,3,7,100
3/26/2016,2016,13,3,7,100
3/26/2016,2016,13,3,7,100
3/26/2016,2016,13,3,5,100
3/26/2016,2016,13,3,2,100
3/26/2016,2016,13,3,1,100
3/26/2016,2016,13,3,0,100
3/26/2016,2016,13,3,0,100
3/25/2016,2016,13,3,2,100
3/25/2016,2016,13,3,3,100
3/25/2016,2016,13,3,6,100
3/25/2016,2016,13,3,9,100
3/25/2016,2016,13,3,8,100
3/25/2016,2016,13,3,6,100
3/25/2016,2016,13,3,4,100
3/25/2016,2016,13,3,2,100
3/25/2016,2016,13,3,1,100
3/25/2016,2016,13,3,0,100
3/25/2016,2016,13,3,0,100
3/24/2016,2016,13,3,2,100
3/24/2016,2016,13,3,5,100
3/24/2016,2016,13,3,6,100
3/24/2016,2016,13,3,7,100
3/24/2016,2016,13,3,6,100
3/24/2016,2016,13,3,6,100
3/24/2016,2016,13,3,3,100
3/24/2016,2016,13,3,2,100
3/24/2016,2016,13,3,1,100
3/24/2016,2016,13,3,0,100
3/24/2016,2016,13,3,0,100
3/23/2016,2016,13,3,1,100
3/23/2016,2016,13,3,2,100
3/23/2016,2016,13,3,2,100
3/23/2016,2016,13,3,5,100
3/23/2016,2016,13,3,5,100
3/23/2016,2016,13,3,5,100
3/23/2016,2016,13,3,4,100
3/23/2016,2016,13,3,2,100
3/23/2016,2016,13,3,0,100
3/23/2016,2016,13,3,0,100
3/23/2016,2016,13,3,0,100
3/22/2016,2016,13,3,0,100
3/22/2016,2016,13,3,3,100
3/22/2016,2016,13,3,3,100
3/22/2016,2016,13,3,5,100
3/22/2016,2016,13,3,4,100
3/22/2016,2016,13,3,4,100
3/22/2016,2016,13,3,2,100
3/22/2016,2016,13,3,1,100
3/22/2016,2016,13,3,0,100
3/22/2016,2016,13,3,0,100
3/22/2016,2016,13,3,0,100
3/21/2016,2016,13,3,0,100
3/21/2016,2016,13,3,3,100
3/21/2016,2016,13,3,6,100
3/21/2016,2016,13,3,9,100
3/21/2016,2016,13,3,9,100
3/21/2016,2016,13,3,8,100
3/21/2016,2016,13,3,5,100
3/21/2016,2016,13,3,3,100
3/21/2016,2016,13,3,1,100
3/21/2016,2016,13,3,0,100
3/21/2016,2016,13,3,0,100
4/2/2016,2016,14,4,4,100
4/2/2016,2016,14,4,6,100
4/2/2016,2016,14,4,8,100
4/2/2016,2016,14,4,8,100
4/2/2016,2016,14,4,9,100
4/2/2016,2016,14,4,-1,100
4/2/2016,2016,14,4,4,100
4/2/2016,2016,14,4,3,100
4/2/2016,2016,14,4,1,100
4/2/2016,2016,14,4,-1,100
4/2/2016,2016,14,4,-1,100
4/1/2016,2016,14,4,4,100
4/1/2016,2016,14,4,6,100
4/1/2016,2016,14,4,9,100
4/1/2016,2016,14,4,9,100
4/1/2016,2016,14,4,10,100
