LocationId,Address,Xcoord,Ycoord,Description,RegionId
1,Admiralty,1.4439,103.7854,North,247
2,Admiralty (West),1.4582,103.7953,North,247
3,Ang Mo Kio,1.3764,103.8492,North East,426
4,Boon Lay (East),1.3302,103.7205,West,439
5,Boon Lay (West),1.3275,103.7042,West,439
6,Botanic Garden,1.3087,103.818,Central,604
7,Buangkok,1.3837,103.886,North East,426
8,Bukit Panjang,1.3824,103.7603,West,439
9,Bukit Timah,1.3191,103.8191,Central,604
10,Buona Vista,1.2841,103.7886,West,439
11,Chai Chee,1.3277,103.9203,East,314
12,Changi,1.3678,103.9826,East,314
13,Choa Chu Kang (Central),1.3819,103.7386,West,439
14,Choa Chu Kang (South),1.3729,103.7224,West,439
15,Choa Chu Kang (West),1.3746,103.6938,West,439
16,Clementi,1.3337,103.7768,West,439
17,Dhoby Ghaut,1.2994,103.8461,Central,604
18,East Coast Parkway,1.3134,103.9619,East,314
19,Jurong (East),1.3262,103.7354,West,439
20,Jurong (North),1.3505,103.7134,West,439
21,Jurong (West),1.3455,103.6806,West,439
22,Jurong Island,1.2542,103.6741,West,439
23,Jurong Pier,1.3081,103.71,West,439
24,Kampong Bahru,1.2745,103.828,West,439
25,Kent Ridge,1.2923,103.7815,West,439
26,Khatib,1.4173,103.8249,North,247
27,Kranji Reservoir,1.4387,103.7363,North,247
28,Lim Chu Kang,1.4385,103.7013,North,247
29,Lower Peirce Reservoir,1.3701,103.8271,North,247
30,Macritchie Reservoir,1.3417,103.8338,North,247
31,Mandai,1.4036,103.7898,North,247
32,Marina Barrage,1.2799,103.8703,Central,604
33,Marine Parade,1.3065,103.9107,Central,604
34,Newton,1.3106,103.8365,Central,604
35,Nicoll Highway,1.3011,103.8666,Central,604
36,Pasir Panjang,1.281,103.754,West,439
37,Pasir Ris (West),1.3863,103.9412,East,314
38,Pasir Ris Central,1.3679,103.9489,East,314
39,Paya Lebar,1.3524,103.9007,East,314
40,Pulau Ubin,1.4168,103.9673,East,314
41,Punggol,1.4029,103.9092,North East,426
42,Queenstown,1.2937,103.8125,Central,604
43,Seletar,1.4166,103.8654,North East,426
44,Semakau Island,1.189,103.768,Central,604
45,Sembawang,1.4252,103.8202,North,247
46,Sentosa Island,1.25,103.8279,Central,604
47,Serangoon,1.3382,103.8657,North East,426
48,Serangoon North,1.3606,103.8697,North East,426
49,Simei,1.3437,103.9444,East,314
50,Somerset,1.3004,103.8372,Central,604
51,Tai Seng,1.3399,103.8878,East,314
52,Tanjong Katong,1.307,103.8907,East,314
53,Tanjong Pagar,1.274,103.8482,Central,604
54,Tengah,1.3858,103.7114,Central,604
55,Toa Payoh,1.3415,103.8519,Central,604
56,Tuas,1.3199,103.6616,West,439
57,Tuas South,1.2938,103.6184,West,439
58,Tuas West,1.3247,103.6351,West,439
59,Ulu Pandan,1.3329,103.7556,West,439
60,Upper Peirce Reservoir,1.37,103.805,North,247
61,Upper Thomson,1.3416,103.8106,Central,604
62,Whampoa,1.3214,103.8577,Central,604
63,Yishun,1.4301,103.8308,North,247
