WW,Region1,AveUVIndex,MinUVIndex,MaxUVIndex,PSI_region1,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1,114,NULL,NULL,NULL,38.95833333,12.89166667,5.733333333,7.7,9.358333333,26.6,28.525,24.375,14.85,48.15,100,87,73,1
2,95,NULL,NULL,NULL,37.01785714,1.316666667,0.935897436,1.115384615,1.223076923,27.87142857,30.92857143,26.25714286,14.89285714,39.62142857,93.57142857,81,60.14285714,1
3,140,NULL,NULL,NULL,41.7797619,4.676190476,3.376190476,4.14047619,4.507142857,28.31428571,31.93571429,26.62857143,13.54285714,39.70714286,90.42857143,79.14285714,58,1
4,182,NULL,NULL,NULL,47.55952381,7.95,5.647619048,6.64047619,6.921428571,28.21428571,31.5,25.88571429,13.44285714,42.59285714,93,79.57142857,59.28571429,1
5,223,NULL,NULL,NULL,39.04166667,3.807142857,2.528571429,2.814285714,3.00952381,28.1,31.70714286,26.05,16.94285714,50.88571429,89.71428571,78,58.28571429,1
6,230,NULL,NULL,NULL,38.25,5.947619048,3.428571429,3.985714286,4.7,28.08571429,31.7,25.85714286,15.97857143,43.24285714,92,78,56.71428571,1
7,208,NULL,NULL,NULL,43.60714286,4.85952381,2.961904762,3.585714286,3.8,27.45714286,29.82142857,25.96428571,18.05714286,42.86428571,91,80.85714286,65,1
8,233,NULL,NULL,NULL,45.88095238,14.14146341,3.468292683,4.96097561,6.551219512,27.67142857,30.60714286,25.72857143,17.11428571,48.86428571,92.14285714,80,60.57142857,1
9,287,NULL,NULL,NULL,46.0297619,1.914285714,0.876190476,1.071428571,1.271428571,27.82857143,31.14285714,25.75714286,19.18571429,49.04285714,90.42857143,77.71428571,58.85714286,1
10,159,NULL,NULL,NULL,45.82738095,0.433333333,0.314285714,0.338095238,0.395238095,28.44285714,31.65714286,26.5,21.87142857,48.58571429,88.28571429,76.57142857,56.85714286,1
11,131,NULL,NULL,NULL,47.64285714,4.05,2.371428571,3.028571429,3.495238095,28.61428571,32.39285714,26.92142857,14.27857143,36.77142857,89.71428571,77.71428571,55,1
12,70,NULL,NULL,NULL,52.17261905,4.15952381,2.304761905,2.919047619,3.733333333,28.61428571,32.49285714,26.32857143,13.78571429,35.12857143,89,74,49.85714286,1
13,71,3,0,7,58.34523809,2.154761905,1.766666667,1.928571429,1.980952381,29.14285714,32.41428571,27.30714286,14.95714286,39.28571429,89,75.14285714,51.28571429,1
14,60,4,0,9,66.48809524,0.0375,0,0,0,29.42857143,32.8,27.26428571,19.10833333,46.59285714,84.71428571,70.14285714,45,1
