Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1/1/2016,234,NULL,NULL,NULL,32.54166667,5.863636364,2.877777778,3.077777778,4.1,26.8,29.21428571,24.9,10.02857143,36.82857143,100,84,64,4
1/2/2016,234,NULL,NULL,NULL,37.875,18.02,8.45,12,13.325,25.7,28.06666667,23.36666667,6.3,34.73333333,100,90,82,4
1/3/2016,234,NULL,NULL,NULL,41.625,4.26,2.475,3.025,3.35,25.88333333,27.33333333,24.76666667,6.266666667,23.4,100,92,83,4
1/4/2016,234,NULL,NULL,NULL,32.83333333,4.34,3.5,4.275,5.175,27.48333333,32.15,24.36666667,8.416666667,31.56666667,100,83,62,4
1/5/2016,235,NULL,NULL,NULL,40.66666667,0.02,0.025,0.025,0.025,28.48333333,32.68333333,25.7,9.666666667,30.11666667,94,82,55,4
1/6/2016,276,NULL,NULL,NULL,38.20833333,1.32,1.425,1.425,1.55,28.4,31.96666667,25.98333333,9.483333333,30.91666667,89,80,62,4
1/7/2016,296,NULL,NULL,NULL,44.29166667,0,0,0,0,28.53333333,32.48333333,25.96666667,11.63333333,32.23333333,89,76,57,4
1/8/2016,311,NULL,NULL,NULL,45.16666667,0,0,0,0,28.4,32.75,25.18333333,10.45,39.36666667,89,76,48,4
1/9/2016,302,NULL,NULL,NULL,46.54166667,0.56,0.375,0.675,0.675,28.68333333,33.18333333,25.7,11.33333333,44.7,94,78,54,4
1/10/2016,302,NULL,NULL,NULL,41.95833333,0,0,0,0,28.75,33,26.08333333,8.95,30.13333333,89,78,57,4
1/11/2016,302,NULL,NULL,NULL,39.125,5.61,3.975,4.35,5.1,28.08333333,33,25.68333333,7.55,33.05,89,78,58,4
1/12/2016,324,NULL,NULL,NULL,48.58333333,0.02,0.025,0.025,0.025,28.9,32.95,26.31666667,10.18333333,31.5,89,76,54,4
1/13/2016,356,NULL,NULL,NULL,48.75,0.78,0.85,0.975,0.975,28.63333333,32.75,26.11666667,9.816666667,31.1,89,77,58,4
1/14/2016,379,NULL,NULL,NULL,47.70833333,6.02,4.5,5.25,5.975,28.16666667,32.1,25.75,8.533333333,30.18333333,94,79,63,4
1/15/2016,388,NULL,NULL,NULL,43.25,18.92,12.8,15.525,15.75,27.33333333,31.91666667,24.93333333,5.766666667,27.58,89,82,62,4
1/16/2016,386,NULL,NULL,NULL,54.54166667,5.14,4.525,5.45,6.025,27.51666667,32.2,25.26666667,5.166666667,21.94,94,84,54,4
1/17/2016,386,NULL,NULL,NULL,54.625,24.32,15.3,18,19.6,26.8,31.6,24.18333333,5.566666667,33.54,100,86,67,4
1/18/2016,386,NULL,NULL,NULL,52.29166667,3.18,2.125,2.15,2.975,27.91666667,33.46666667,24.76666667,5.9,21.78333333,94,81,59,4
1/19/2016,407,NULL,NULL,NULL,53.83333333,2.94,1.775,1.925,2.575,28.05,31.93333333,25.51666667,7.566666667,33.96666667,91,79,61,4
1/20/2016,448,NULL,NULL,NULL,52.25,3.94,2.95,2.975,4.1,27.93333333,31.3,25.6,6.483333333,26.58333333,94,78,56,4
1/21/2016,466,NULL,NULL,NULL,44.04166667,0.22,0.2,0.2,0.225,28,31.3,25.93333333,7.816666667,28.36666667,89,77,55,4
1/22/2016,469,NULL,NULL,NULL,49.54166667,4.85,3.675,4.2,4.325,27.91666667,31.98333333,25.33333333,7.85,30.43333333,94,79,64,4
