WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1,20,NULL,NULL,NULL,29.125,13.63478261,6.861904762,8.404761905,10.31904762,26.18333333,28.27692308,24.18461538,7.838461538,37.39230769,100,87,73,5
2,47,NULL,NULL,NULL,37.875,1.466233766,0.905714286,1.094285714,1.291428571,28.23095238,31.9452381,25.83333333,8.768421053,32.72368421,93.57142857,81,60.14285714,5
3,57,NULL,NULL,NULL,45.64880953,5.474025974,3.548571429,4.162857143,4.425714286,28.28571429,32.29761905,25.92380952,7.5,30.75365854,90.42857143,79.14285714,58,5
4,85,NULL,NULL,NULL,49.11904762,9.35,7.021538462,7.966153846,8.298461538,27.92820513,31.9025641,25.36410256,7.3025,33.675,93,79.57142857,59.28571429,5
5,97,NULL,NULL,NULL,42.22619048,6.038028169,3.171875,3.721875,4.125,27.99428571,32.01428571,25.48857143,9.652777778,37.29444444,89.71428571,78,58.28571429,5
6,90,NULL,NULL,NULL,38.88095238,5.45,3.649180328,4.02295082,4.721311475,28.06666667,32.22727273,25.45151515,9.381818182,33.96060606,92,78,56.71428571,5
7,74,NULL,NULL,NULL,43.67857143,5.19047619,3.028571429,3.539285714,3.835714286,27.17142857,30.19642857,25.13214286,11.38571429,34.675,91,80.85714286,65,5
8,60,NULL,NULL,NULL,41.54166667,17.16323529,4.501639344,6.285245902,8.301639344,27.22258065,30.83333333,24.87575758,9.409090909,35.43939394,92.14285714,80,60.57142857,5
9,72,NULL,NULL,NULL,47.67261905,2.287142857,1.152380952,1.479365079,1.885714286,27.76857143,31.97428571,25.09714286,11.62857143,37.96857143,90.42857143,77.71428571,58.85714286,5
10,86,NULL,NULL,NULL,47.74404762,0.805333333,0.538235294,0.588235294,0.685294118,28.41842105,32.57368421,26,12.1575,40.0075,88.28571429,76.57142857,56.85714286,5
11,48,NULL,NULL,NULL,43.13095238,4.088311688,2.288571429,2.877142857,3.222857143,28.5925,32.7047619,26.20238095,8.611904762,32.12857143,89.71428571,77.71428571,55,5
12,52,NULL,NULL,NULL,54.43452381,3.637662338,2.082857143,2.771428571,3.528571429,28.6225,33.28095238,25.86428571,8.469047619,31.33571429,89,74,49.85714286,5
13,15,3,0,7,62.08333333,2.238961039,1.645714286,1.891428571,1.917142857,28.97142857,32.83333333,26.66666667,8,32.58333333,89,75.14285714,51.28571429,5
14,8,4,0,9,63.58333333,0.257142857,0.185714286,0.262857143,0.28,29.43902439,33.80714286,26.71904762,10.42857143,35.44285714,84.71428571,70.14285714,45,5
15,23,2,0,7,61.10714286,7.802597403,4.888571429,5.94,7.462857143,28.84864865,33.18571429,25.98571429,7.29047619,31.2047619,91.14285714,76.28571429,53.42857143,5
16,26,3,0,7,60.14285714,3.341558442,2.385714286,2.874285714,3.017142857,29.46875,33.28205128,26.75384615,7.447619048,32.08095238,89.71428571,75.85714286,51.71428571,5
17,10,3,0,8,59.94642857,5.541558442,3.885714286,4.785714286,5.102857143,29.66666667,33.97380952,26.57857143,7.938095238,33.60238095,88.28571429,73.57142857,50.57142857,5
18,3,2,0,6,62.5,5.746753247,4.194285714,5.031428571,5.414285714,28.91904762,32.68333333,26.52142857,6.69047619,29.33095238,94.85714286,79.28571429,56.57142857,5
19,0,3,0,8,56.74404762,4.37012987,2.794285714,3.517142857,3.737142857,29.56153846,33.95714286,26.69285714,6.883333333,31.85952381,89,74.85714286,51,5
20,13,3,0,7,53.88690476,8.045454545,5.254285714,6.691428571,7.597142857,29.07894737,33.01904762,26.34047619,6.39047619,31.82142857,90.42857143,77.28571429,53.85714286,5
21,9,2,0,6,52.2797619,8.332467532,5.617142857,6.514285714,7.328571429,28.74054054,32.53902439,26.0195122,7.245238095,33.35714286,95.85714286,80.71428571,58.71428571,5
22,10,3,0,6,41.53571428,7.553246753,4.732857143,5.784285714,6.555714286,29.42926829,32.86904762,26.05,8.171428571,34.0452381,92.71428571,77.28571429,59.14285714,5
23,14,2,0,5,52.56547619,5.379220779,3.164285714,4.438571429,4.87,28.40714286,31.79761905,25.76666667,6.414285714,34.42857143,91.14285714,78.42857143,57.71428571,5
24,11,2,0,6,57.75,7.222077922,4.345714286,5.777142857,6.288571429,28.73170732,31.98809524,26.1952381,7.15,31.86666667,91.85714286,78.85714286,56.71428571,5
25,2,3,0,6,40.63095238,14.624,5.667647059,7.835294118,10.29705882,28.01794872,30.94761905,25.49761905,7.283333333,33.25,93.42857143,80.28571429,61.42857143,5
26,4,2,0,5,50.36309524,6.784285714,3.103174603,4.174603175,5.414285714,28.26410256,31.4047619,25.45714286,6.845238095,31.98809524,92,76.57142857,57,5
27,2,3,0,6,48.23214286,0.034285714,0.025396825,0.025396825,0.025396825,29.86,32.9547619,27.64047619,8.269047619,25.5,86.85714286,73,53.57142857,5
28,4,3,0,7,51.28571428,5.257575758,3.322033898,3.955932203,4.515254237,29.62142857,32.73809524,26.41190476,8.871428571,32.71428571,86.14285714,72.71428571,51.71428571,5
29,5,2,0,5,51.16071428,8.127272727,4.749152542,6.133898305,7.03220339,28.325,31.31904762,25.44761905,6.961904762,34.60238095,89.71428571,77.71428571,58.42857143,5
30,4,2,0,6,43.96428571,14.76451613,7.901818182,9.930909091,11.40727273,27.31052632,30.80731707,24.24390244,6.843902439,35.11707317,96.85714286,82.57142857,61.28571429,5
31,12,3,0,6,51.60714286,8.53968254,5.271428571,6.139285714,6.389285714,27.84102564,30.49047619,25.04285714,6.445238095,32.06190476,90.42857143,76.85714286,59.14285714,5
32,22,3,0,7,52.60119048,2.863636364,2.288135593,2.620338983,2.776271186,28.49285714,31.4547619,25.78095238,8.79047619,35.14047619,88.42857143,75.42857143,54.57142857,5
33,19,3,0,7,57.20238095,1.663768116,1.061290323,1.074193548,1.087096774,29.28421053,32.06666667,26.90952381,7.769047619,31.34285714,86.85714286,73.28571429,53.85714286,5
34,17,3,0,8,48.14285714,4.205882353,2.73442623,3.226229508,3.380327869,29.24,32.46904762,26.12380952,9.983333333,35.75,86.85714286,72.57142857,52.85714286,5
