YYYY-MM-DD,PSI North Daily,PSI South Daily,PS East Daily,PSI West Daily,PSI Central Daily
1/1/2014,34.83333333,29.79166667,31.41666667,27.83333333,29.04166667
2/1/2014,35.79166667,33.125,31.75,32.75,32
3/1/2014,37.75,31.875,33.75,33.58333333,31.58333333
4/1/2014,28.29166667,22.20833333,25.83333333,23.375,22.66666667
5/1/2014,21.33333333,17.83333333,21.41666667,17.33333333,18.20833333
6/1/2014,17.41666667,14.08333333,15.375,13.375,14.54166667
7/1/2014,34.66666667,31.66666667,32.125,30.375,28.95833333
8/1/2014,35.79166667,30.95833333,31.79166667,31.625,29.16666667
9/1/2014,26.625,19.66666667,21.70833333,22.20833333,18.5
10/1/2014,29.5,20.04166667,24.45833333,18.375,19.45833333
11/1/2014,26.25,19.375,22.875,15.70833333,18.58333333
12/1/2014,25.79166667,18.25,19.58333333,17.70833333,16.25
13/1/2014,27.625,24.08333333,23.54166667,22.875,21.875
14/1/2014,38.04166667,33.79166667,28.875,30.25,30.875
15/1/2014,38.91666667,35.29166667,29.83333333,33.08333333,32.375
16/1/2014,40.5,38.66666667,35.08333333,37.41666667,36.45833333
17/1/2014,36.625,33.58333333,33.70833333,34.04166667,32.79166667
18/1/2014,32,29.16666667,28.66666667,27.08333333,26.45833333
19/1/2014,31.45833333,29.79166667,29.29166667,29.125,25.75
20/1/2014,31.91666667,29.54166667,29.95833333,30.83333333,27.125
21/1/2014,32.66666667,29.875,32.58333333,31.66666667,27.33333333
22/1/2014,38.20833333,34.58333333,36.04166667,35.04166667,32.75
23/1/2014,37.54166667,40.91666667,39.5,40.54166667,38.45833333
24/1/2014,48.04166667,48.20833333,45.16666667,46.95833333,44.70833333
25/1/2014,46.04166667,45.04166667,42.75,44.58333333,42
26/1/2014,42.79166667,41.125,37.70833333,40.83333333,39.16666667
27/1/2014,35.79166667,36.33333333,32.04166667,35.625,34.79166667
28/1/2014,34.58333333,31.79166667,28.79166667,31,29.91666667
