YYYY-MM-DD,time,24PsiNorth,24PsiSouth,24PsiEast,24PsiWest,24PsiCentral,24PsiOverall
1/1/2014,1am,38,30,33,27,29,27-38
1/1/2014,2am,38,29,33,27,29,27-38
1/1/2014,3am,37,29,33,27,29,27-37
1/1/2014,4am,38,30,33,27,29,27-38
1/1/2014,5am,38,30,33,27,29,27-38
1/1/2014,6am,38,30,33,27,29,27-38
1/1/2014,7am,37,30,33,27,29,27-37
1/1/2014,8am,37,30,33,27,29,27-37
1/1/2014,9am,37,30,33,27,29,27-37
1/1/2014,10am,36,30,32,27,29,27-36
1/1/2014,11am,36,30,32,27,29,27-36
1/1/2014,12pm,35,30,32,27,29,27-35
1/1/2014,1pm,35,30,31,27,29,27-35
1/1/2014,2pm,35,30,31,27,30,27-35
1/1/2014,3pm,34,30,31,28,29,28-34
1/1/2014,4pm,34,30,31,29,29,29-34
1/1/2014,5pm,33,30,31,28,30,28-33
1/1/2014,6pm,33,30,30,29,29,29-33
1/1/2014,7pm,32,29,30,28,29,28-32
1/1/2014,8pm,31,29,30,29,28,28-31
1/1/2014,9pm,31,29,29,29,29,29-31
1/1/2014,10pm,31,30,29,30,29,29-31
1/1/2014,11pm,31,30,29,30,29,29-31
1/1/2014,12am,31,30,29,30,29,29-31
2/1/2014,1am,32,30,29,30,29,29-32
2/1/2014,2am,32,31,29,31,30,29-32
2/1/2014,3am,32,31,29,31,30,29-32
2/1/2014,4am,32,31,30,31,30,30-32
2/1/2014,5am,32,32,30,31,31,30-32
2/1/2014,6am,33,32,30,31,31,30-33
2/1/2014,7am,33,32,30,31,31,30-33
2/1/2014,8am,34,32,30,31,31,30-34
2/1/2014,9am,35,33,31,32,31,31-35
2/1/2014,10am,36,33,31,32,31,31-36
2/1/2014,11am,37,33,31,33,32,31-37
2/1/2014,12pm,37,33,32,34,32,32-37
2/1/2014,1pm,37,33,32,34,32,32-37
2/1/2014,2pm,37,34,32,34,33,32-37
2/1/2014,3pm,38,34,32,34,33,32-38
2/1/2014,4pm,38,34,33,34,33,33-38
2/1/2014,5pm,38,34,33,34,33,33-38
2/1/2014,6pm,38,34,33,34,33,33-38
2/1/2014,7pm,38,34,34,34,33,33-38
2/1/2014,8pm,38,35,34,34,33,33-38
2/1/2014,9pm,38,35,34,34,34,34-38
2/1/2014,10pm,38,35,35,34,34,34-38
2/1/2014,11pm,38,35,34,34,34,34-38
2/1/2014,12am,38,35,34,34,34,34-38
3/1/2014,1am,38,35,34,34,34,34-38
3/1/2014,2am,38,35,35,34,34,34-38
3/1/2014,3am,39,35,35,34,34,34-39
3/1/2014,4am,40,35,35,35,34,34-40
3/1/2014,5am,40,35,35,35,34,34-40
3/1/2014,6am,40,34,35,35,33,33-40
3/1/2014,7am,39,34,35,35,33,33-39
3/1/2014,8am,39,34,35,35,33,33-39
3/1/2014,9am,38,33,35,35,33,33-38
3/1/2014,10am,38,33,35,35,33,33-38
3/1/2014,11am,38,33,35,35,32,32-38
3/1/2014,12pm,38,33,35,35,32,32-38
3/1/2014,1pm,38,33,35,34,32,32-38
3/1/2014,2pm,38,33,35,34,32,32-38
3/1/2014,3pm,37,32,35,34,32,32-37
3/1/2014,4pm,37,31,34,34,32,31-37
3/1/2014,5pm,37,31,33,34,31,31-37
3/1/2014,6pm,37,30,33,33,31,30-37
3/1/2014,7pm,37,29,32,33,30,29-37
3/1/2014,8pm,37,29,32,32,29,29-37
