Date, Time, Index
08/30/2016,17:00:00+08:00,1
08/30/2016,16:00:00+08:00,1
08/30/2016,15:00:00+08:00,1
08/30/2016,14:00:00+08:00,4
08/30/2016,13:00:00+08:00,3
08/30/2016,12:00:00+08:00,3
08/30/2016,11:00:00+08:00,1
08/30/2016,10:00:00+08:00,1
08/30/2016,09:00:00+08:00,0
08/30/2016,08:00:00+08:00,0
08/30/2016,07:00:00+08:00,0
08/29/2016,17:00:00+08:00,3
08/29/2016,16:00:00+08:00,4
08/29/2016,15:00:00+08:00,4
08/29/2016,14:00:00+08:00,4
08/29/2016,13:00:00+08:00,6
08/29/2016,12:00:00+08:00,6
08/29/2016,11:00:00+08:00,5
08/29/2016,10:00:00+08:00,2
08/29/2016,09:00:00+08:00,1
08/29/2016,08:00:00+08:00,0
08/29/2016,07:00:00+08:00,0
08/28/2016,17:00:00+08:00,1
08/28/2016,16:00:00+08:00,2
08/28/2016,15:00:00+08:00,2
08/28/2016,14:00:00+08:00,4
08/28/2016,13:00:00+08:00,5
08/28/2016,12:00:00+08:00,3
08/28/2016,11:00:00+08:00,2
08/28/2016,10:00:00+08:00,1
08/28/2016,09:00:00+08:00,0
08/28/2016,08:00:00+08:00,0
08/28/2016,07:00:00+08:00,0
08/27/2016,17:00:00+08:00,2
08/27/2016,16:00:00+08:00,2
08/27/2016,15:00:00+08:00,3
08/27/2016,14:00:00+08:00,3
08/27/2016,13:00:00+08:00,3
08/27/2016,12:00:00+08:00,1
08/27/2016,11:00:00+08:00,2
08/27/2016,10:00:00+08:00,1
08/27/2016,09:00:00+08:00,0
08/27/2016,08:00:00+08:00,0
08/27/2016,07:00:00+08:00,0
08/26/2016,17:00:00+08:00,1
08/26/2016,16:00:00+08:00,2
08/26/2016,15:00:00+08:00,4
08/26/2016,14:00:00+08:00,4
08/26/2016,13:00:00+08:00,3
08/26/2016,12:00:00+08:00,3
08/26/2016,11:00:00+08:00,2
08/26/2016,10:00:00+08:00,1
08/26/2016,09:00:00+08:00,0
08/26/2016,08:00:00+08:00,0
08/26/2016,07:00:00+08:00,0
08/25/2016,17:00:00+08:00,2
08/25/2016,16:00:00+08:00,4
08/25/2016,15:00:00+08:00,4
08/25/2016,14:00:00+08:00,6
08/25/2016,13:00:00+08:00,9
08/25/2016,12:00:00+08:00,7
08/25/2016,11:00:00+08:00,5
08/25/2016,10:00:00+08:00,3
08/25/2016,09:00:00+08:00,1
08/25/2016,08:00:00+08:00,0
08/25/2016,07:00:00+08:00,0
08/24/2016,17:00:00+08:00,3
08/24/2016,16:00:00+08:00,5
08/24/2016,15:00:00+08:00,6
08/24/2016,14:00:00+08:00,6
08/24/2016,13:00:00+08:00,4
08/24/2016,12:00:00+08:00,3
08/24/2016,11:00:00+08:00,1
08/24/2016,10:00:00+08:00,1
08/24/2016,09:00:00+08:00,0
08/24/2016,08:00:00+08:00,0
08/24/2016,07:00:00+08:00,0
08/23/2016,17:00:00+08:00,2
08/23/2016,16:00:00+08:00,2
08/23/2016,15:00:00+08:00,6
08/23/2016,14:00:00+08:00,8
08/23/2016,13:00:00+08:00,8
08/23/2016,12:00:00+08:00,5
08/23/2016,11:00:00+08:00,3
08/23/2016,10:00:00+08:00,1
08/23/2016,09:00:00+08:00,0
08/23/2016,08:00:00+08:00,0
08/23/2016,07:00:00+08:00,0
08/22/2016,17:00:00+08:00,1
08/22/2016,16:00:00+08:00,1
08/22/2016,15:00:00+08:00,6
08/22/2016,14:00:00+08:00,6
08/22/2016,13:00:00+08:00,3
08/22/2016,12:00:00+08:00,2
08/22/2016,11:00:00+08:00,3
08/22/2016,10:00:00+08:00,1
08/22/2016,09:00:00+08:00,1
08/22/2016,08:00:00+08:00,0
08/22/2016,07:00:00+08:00,0
08/21/2016,17:00:00+08:00,2
08/21/2016,16:00:00+08:00,4
08/21/2016,15:00:00+08:00,4
08/21/2016,14:00:00+08:00,1
08/21/2016,13:00:00+08:00,2
08/21/2016,12:00:00+08:00,3
08/21/2016,11:00:00+08:00,2
08/21/2016,10:00:00+08:00,1
08/21/2016,09:00:00+08:00,0
08/21/2016,08:00:00+08:00,0
08/21/2016,07:00:00+08:00,0
08/20/2016,16:00:00+08:00,5
08/20/2016,15:00:00+08:00,6
08/20/2016,14:00:00+08:00,8
08/20/2016,13:00:00+08:00,8
08/20/2016,12:00:00+08:00,7
08/20/2016,11:00:00+08:00,5
08/20/2016,10:00:00+08:00,3
08/20/2016,09:00:00+08:00,1
08/20/2016,08:00:00+08:00,0
08/20/2016,07:00:00+08:00,0
08/19/2016,17:00:00+08:00,2
08/19/2016,16:00:00+08:00,4
08/19/2016,15:00:00+08:00,7
08/19/2016,14:00:00+08:00,8
08/19/2016,13:00:00+08:00,6
08/19/2016,12:00:00+08:00,6
08/19/2016,11:00:00+08:00,4
08/19/2016,10:00:00+08:00,1
08/19/2016,09:00:00+08:00,0
08/19/2016,08:00:00+08:00,0
08/19/2016,07:00:00+08:00,0
08/18/2016,17:00:00+08:00,3
08/18/2016,16:00:00+08:00,5
08/18/2016,15:00:00+08:00,7
08/18/2016,14:00:00+08:00,8
08/18/2016,13:00:00+08:00,7
08/18/2016,12:00:00+08:00,7
08/18/2016,11:00:00+08:00,4
08/18/2016,10:00:00+08:00,2
08/18/2016,09:00:00+08:00,1
08/18/2016,08:00:00+08:00,0
08/18/2016,07:00:00+08:00,0
08/17/2016,17:00:00+08:00,2
08/17/2016,16:00:00+08:00,1
08/17/2016,15:00:00+08:00,4
08/17/2016,14:00:00+08:00,8
08/17/2016,13:00:00+08:00,7
08/17/2016,12:00:00+08:00,5
08/17/2016,11:00:00+08:00,4
08/17/2016,10:00:00+08:00,2
08/17/2016,09:00:00+08:00,1
08/17/2016,08:00:00+08:00,0
08/17/2016,07:00:00+08:00,0
08/16/2016,17:00:00+08:00,3
08/16/2016,16:00:00+08:00,4
08/16/2016,15:00:00+08:00,6
08/16/2016,14:00:00+08:00,7
08/16/2016,13:00:00+08:00,7
08/16/2016,12:00:00+08:00,6
08/16/2016,11:00:00+08:00,4
08/16/2016,10:00:00+08:00,2
08/16/2016,09:00:00+08:00,1
08/16/2016,08:00:00+08:00,0
08/16/2016,07:00:00+08:00,0
08/15/2016,17:00:00+08:00,3
08/15/2016,16:00:00+08:00,5
08/15/2016,15:00:00+08:00,6
08/15/2016,14:00:00+08:00,8
08/15/2016,13:00:00+08:00,8
08/15/2016,12:00:00+08:00,6
08/15/2016,11:00:00+08:00,4
08/15/2016,10:00:00+08:00,2
08/15/2016,09:00:00+08:00,0
08/15/2016,08:00:00+08:00,0
08/15/2016,07:00:00+08:00,0
08/14/2016,17:00:00+08:00,2
08/14/2016,16:00:00+08:00,4
08/14/2016,15:00:00+08:00,4
08/14/2016,14:00:00+08:00,7
08/14/2016,13:00:00+08:00,7
08/14/2016,12:00:00+08:00,3
08/14/2016,11:00:00+08:00,2
08/14/2016,10:00:00+08:00,1
08/14/2016,09:00:00+08:00,0
08/14/2016,08:00:00+08:00,0
08/14/2016,07:00:00+08:00,0
08/13/2016,17:00:00+08:00,3
08/13/2016,16:00:00+08:00,4
08/13/2016,15:00:00+08:00,2
08/13/2016,14:00:00+08:00,4
08/13/2016,13:00:00+08:00,8
08/13/2016,12:00:00+08:00,4
08/13/2016,11:00:00+08:00,5
08/13/2016,10:00:00+08:00,2
08/13/2016,09:00:00+08:00,1
08/13/2016,08:00:00+08:00,0
08/13/2016,07:00:00+08:00,0
08/12/2016,17:00:00+08:00,2
08/12/2016,16:00:00+08:00,4
08/12/2016,15:00:00+08:00,3
08/12/2016,14:00:00+08:00,4
08/12/2016,13:00:00+08:00,7
08/12/2016,12:00:00+08:00,5
08/12/2016,11:00:00+08:00,3
08/12/2016,10:00:00+08:00,2
08/12/2016,09:00:00+08:00,1
08/12/2016,08:00:00+08:00,0
08/12/2016,07:00:00+08:00,0
08/11/2016,17:00:00+08:00,2
08/11/2016,16:00:00+08:00,4
08/11/2016,15:00:00+08:00,4
08/11/2016,14:00:00+08:00,2
08/11/2016,13:00:00+08:00,6
08/11/2016,12:00:00+08:00,3
08/11/2016,11:00:00+08:00,2
08/11/2016,10:00:00+08:00,1
08/11/2016,09:00:00+08:00,1
08/11/2016,08:00:00+08:00,0
08/11/2016,07:00:00+08:00,0
08/10/2016,17:00:00+08:00,3
08/10/2016,16:00:00+08:00,5
08/10/2016,15:00:00+08:00,6
08/10/2016,14:00:00+08:00,7
08/10/2016,13:00:00+08:00,8
08/10/2016,12:00:00+08:00,6
08/10/2016,11:00:00+08:00,5
08/10/2016,10:00:00+08:00,2
08/10/2016,09:00:00+08:00,0
08/10/2016,08:00:00+08:00,0
08/10/2016,07:00:00+08:00,0
08/09/2016,17:00:00+08:00,3
08/09/2016,16:00:00+08:00,5
08/09/2016,15:00:00+08:00,6
08/09/2016,14:00:00+08:00,8
08/09/2016,13:00:00+08:00,7
08/09/2016,12:00:00+08:00,3
08/09/2016,11:00:00+08:00,3
08/09/2016,10:00:00+08:00,1
08/09/2016,09:00:00+08:00,0
08/09/2016,08:00:00+08:00,0
08/09/2016,07:00:00+08:00,0
08/08/2016,17:00:00+08:00,2
08/08/2016,16:00:00+08:00,3
08/08/2016,15:00:00+08:00,5
08/08/2016,14:00:00+08:00,6
08/08/2016,13:00:00+08:00,6
08/08/2016,12:00:00+08:00,4
08/08/2016,11:00:00+08:00,2
08/08/2016,10:00:00+08:00,1
08/08/2016,09:00:00+08:00,0
08/08/2016,08:00:00+08:00,0
08/08/2016,07:00:00+08:00,0
08/07/2016,17:00:00+08:00,1
08/07/2016,16:00:00+08:00,1
08/07/2016,15:00:00+08:00,4
08/07/2016,14:00:00+08:00,8
08/07/2016,13:00:00+08:00,6
08/07/2016,12:00:00+08:00,5
08/07/2016,11:00:00+08:00,4
08/07/2016,10:00:00+08:00,2
08/07/2016,09:00:00+08:00,0
08/07/2016,08:00:00+08:00,0
08/07/2016,07:00:00+08:00,0
08/06/2016,17:00:00+08:00,0
08/06/2016,16:00:00+08:00,1
08/06/2016,15:00:00+08:00,3
08/06/2016,14:00:00+08:00,7
08/06/2016,13:00:00+08:00,7
08/06/2016,12:00:00+08:00,5
08/06/2016,11:00:00+08:00,3
08/06/2016,10:00:00+08:00,1
08/06/2016,09:00:00+08:00,0
08/06/2016,08:00:00+08:00,0
08/06/2016,07:00:00+08:00,0
08/05/2016,17:00:00+08:00,2
08/05/2016,16:00:00+08:00,5
08/05/2016,15:00:00+08:00,6
08/05/2016,14:00:00+08:00,7
08/05/2016,13:00:00+08:00,6
08/05/2016,12:00:00+08:00,5
08/05/2016,11:00:00+08:00,4
08/05/2016,10:00:00+08:00,2
08/05/2016,09:00:00+08:00,0
08/05/2016,08:00:00+08:00,0
08/05/2016,07:00:00+08:00,0
08/04/2016,17:00:00+08:00,3
08/04/2016,16:00:00+08:00,6
08/04/2016,15:00:00+08:00,7
08/04/2016,14:00:00+08:00,7
08/04/2016,13:00:00+08:00,8
08/04/2016,12:00:00+08:00,7
08/04/2016,11:00:00+08:00,4
08/04/2016,10:00:00+08:00,2
08/04/2016,09:00:00+08:00,0
08/04/2016,08:00:00+08:00,0
08/04/2016,07:00:00+08:00,0
08/03/2016,17:00:00+08:00,3
08/03/2016,16:00:00+08:00,4
08/03/2016,15:00:00+08:00,5
08/03/2016,14:00:00+08:00,5
08/03/2016,13:00:00+08:00,5
08/03/2016,12:00:00+08:00,2
08/03/2016,11:00:00+08:00,1
08/03/2016,10:00:00+08:00,1
08/03/2016,09:00:00+08:00,0
