
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,33,28,24,24,23,22,94,76,52,1011,1008,1006,10,10,8,23,8,,0.00,6,Rain-Thunderstorm,357<br />
2013-1-2,31,27,24,26,24,22,94,82,66,1011,1009,1007,10,8,1,24,11,,0.00,5,Rain-Thunderstorm,219<br />
2013-1-3,32,28,25,25,24,23,94,79,59,1012,1009,1008,10,9,6,23,8,,0.00,5,Rain-Thunderstorm,342<br />
2013-1-4,31,28,25,24,23,23,89,75,62,1010,1008,1006,10,10,10,23,14,,0.00,6,,5<br />
2013-1-5,31,28,26,24,23,22,89,73,62,1010,1008,1006,10,10,10,27,11,,0.00,6,,340<br />
2013-1-6,34,29,25,24,22,20,89,69,46,1010,1008,1006,10,10,10,16,10,,0.00,6,,346<br />
2013-1-7,35,30,26,24,22,17,83,61,34,1010,1008,1005,10,10,10,26,10,,0.00,6,,302<br />
2013-1-8,32,27,23,24,23,21,94,77,55,1011,1009,1007,10,9,1,29,11,32,0.00,5,Rain-Thunderstorm,301<br />
2013-1-9,33,28,23,25,23,21,94,78,49,1011,1009,1007,10,8,0,21,10,,0.00,5,Rain-Thunderstorm,316<br />
2013-1-10,31,28,25,23,22,20,89,72,52,1011,1009,1008,10,10,10,21,10,,0.00,6,Rain,334<br />
2013-1-11,31,28,26,23,23,22,83,72,58,1012,1010,1008,10,10,10,24,16,,0.00,6,Rain,8<br />
2013-1-12,32,29,26,23,22,21,83,70,52,1012,1010,1008,10,10,8,19,11,,0.00,6,Rain-Thunderstorm,5<br />
2013-1-13,32,28,25,25,23,22,94,81,55,1011,1010,1009,10,8,1,16,8,34,0.00,5,Rain-Thunderstorm,14<br />
2013-1-14,31,28,26,24,23,22,84,74,62,1012,1010,1008,10,9,3,27,14,,0.00,5,Rain-Thunderstorm,22<br />
2013-1-15,31,28,25,23,22,21,89,73,58,1012,1011,1010,10,10,7,27,18,,0.00,6,Rain-Thunderstorm,23<br />
2013-1-16,29,27,26,23,22,22,83,73,66,1013,1011,1009,10,9,6,27,18,,0.00,6,Rain,24<br />
2013-1-17,31,28,25,22,21,19,83,64,49,1012,1011,1009,10,10,8,27,21,,0.00,6,,8<br />
2013-1-18,33,29,25,23,22,20,89,71,46,1013,1011,1008,10,10,10,34,18,,0.00,6,Rain,352<br />
2013-1-19,25,24,23,23,23,22,94,92,83,1013,1011,1009,10,5,1,26,11,,0.00,8,Rain,334<br />
2013-1-20,27,26,24,24,23,23,94,90,79,1013,1011,1010,10,7,3,21,8,,0.00,7,Rain,340<br />
2013-1-21,31,28,25,23,23,22,89,75,58,1013,1012,1009,10,10,8,24,11,,0.00,6,,9<br />
2013-1-22,29,27,24,24,23,22,94,85,70,1014,1012,1010,10,9,4,24,13,,0.00,6,Rain,17<br />
2013-1-23,31,28,25,23,22,21,89,73,58,1013,1011,1009,10,10,10,27,14,,0.00,6,,5<br />
2013-1-24,31,28,25,23,23,22,89,74,58,1014,1011,1009,10,10,10,26,16,,0.00,6,,17<br />
2013-1-25,31,28,25,23,22,21,89,72,55,1013,1011,1009,10,10,10,26,14,,0.00,6,,15<br />
2013-1-26,31,28,25,22,21,19,83,66,49,1013,1012,1010,10,10,10,24,16,,0.00,6,,19<br />
2013-1-27,31,28,25,23,22,20,83,69,52,1013,1012,1010,10,10,10,26,14,,0.00,6,,22<br />
2013-1-28,31,28,25,23,22,20,89,69,52,1013,1011,1009,10,10,9,24,16,,0.00,5,Rain,22<br />
2013-1-29,31,28,25,23,21,20,89,68,52,1013,1011,1009,10,10,10,27,18,,0.00,5,,24<br />
2013-1-30,32,28,25,23,21,18,83,66,46,1014,1012,1010,10,10,10,27,18,,0.00,5,,24<br />
2013-1-31,32,28,25,23,22,21,89,71,55,1014,1012,1010,10,10,10,27,16,,0.00,5,,26<br />
2013-2-1,32,29,26,23,22,21,83,69,52,1013,1011,1009,10,10,10,34,19,,0.00,6,,27<br />
2013-2-2,33,29,26,23,22,19,83,64,43,1012,1010,1008,10,10,10,32,21,,0.00,6,,16<br />
2013-2-3,29,27,25,25,24,23,94,87,70,1011,1009,1008,10,7,1,27,13,,0.00,6,Rain,6<br />
2013-2-4,29,27,24,24,24,23,94,82,74,1013,1011,1009,10,10,9,21,11,,0.00,6,Rain,22<br />
2013-2-5,30,27,24,24,23,22,94,81,66,1014,1012,1010,10,9,5,26,11,,0.00,6,Rain-Thunderstorm,359<br />
2013-2-6,30,28,25,24,23,22,94,85,66,1014,1011,1009,10,8,1,24,10,,0.00,5,Rain-Thunderstorm,354<br />
2013-2-7,31,28,25,24,23,22,94,80,58,1011,1009,1007,10,9,2,21,11,,0.00,5,Rain,353<br />
2013-2-8,30,28,25,24,23,23,94,85,66,1012,1010,1008,10,8,1,23,8,,0.00,5,Rain-Thunderstorm,304<br />
2013-2-9,31,28,25,25,23,22,94,82,58,1011,1009,1008,10,8,1,21,8,,0.00,5,Rain-Thunderstorm,20<br />
2013-2-10,26,24,24,24,23,22,94,89,83,1012,1010,1009,10,8,3,23,10,,0.00,6,Rain,15<br />
2013-2-11,29,27,24,24,23,22,94,83,70,1011,1009,1008,10,9,6,24,10,,0.00,6,Rain,325<br />
2013-2-12,30,27,24,24,23,22,94,81,62,1011,1009,1006,10,9,5,26,11,,0.00,6,Rain,21<br />
2013-2-13,30,28,25,24,23,23,94,79,66,1010,1008,1006,10,10,6,24,11,35,0.00,5,Rain,18<br />
2013-2-14,28,26,24,24,23,22,94,90,79,1010,1009,1007,10,6,0,27,8,39,0.00,6,Rain-Thunderstorm,355<br />
2013-2-15,30,27,24,24,23,22,94,81,62,1010,1008,1006,10,9,3,29,11,,0.00,5,Rain-Thunderstorm,343<br />
2013-2-16,30,28,25,24,23,22,94,82,66,1010,1008,1006,10,9,1,27,10,,0.00,5,Rain,328<br />
2013-2-17,26,24,24,23,23,22,94,88,78,1011,1009,1007,10,9,7,19,8,,0.00,6,Rain,13<br />
2013-2-18,31,28,25,25,23,23,94,81,62,1009,1007,1005,10,8,2,26,10,,0.00,5,Rain-Thunderstorm,12<br />
