
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2011-1-1,31,28,25,25,24,24,100,85,66,1009,1007,1004,10,10,8,24,10,,0.00,6,Rain-Thunderstorm,19<br />
2011-1-2,31,28,26,25,24,24,94,83,66,1010,1007,1005,10,10,9,23,13,,0.00,5,,25<br />
2011-1-3,31,27,24,26,24,23,94,88,70,1010,1008,1006,10,10,4,19,8,,0.00,6,Rain-Thunderstorm,9<br />
2011-1-4,31,28,25,25,24,23,100,84,70,1009,1007,1005,10,10,8,19,8,,0.00,6,,8<br />
2011-1-5,32,28,24,26,24,23,100,85,66,1008,1007,1004,10,9,2,23,10,34,0.00,5,Rain-Thunderstorm,3<br />
2011-1-6,29,27,24,25,24,23,100,93,79,1010,1008,1007,10,9,2,10,5,,0.00,6,Rain-Thunderstorm,354<br />
2011-1-7,27,26,24,25,24,23,100,92,83,1010,1009,1007,10,10,10,10,6,,0.00,5,Rain,344<br />
2011-1-8,30,27,24,26,23,22,94,86,66,1009,1008,1006,10,10,10,24,8,39,0.00,5,Rain,3<br />
2011-1-9,30,28,25,25,24,23,94,86,70,1009,1008,1005,10,9,6,21,8,40,0.00,5,Rain,11<br />
2011-1-10,26,24,24,25,24,23,100,95,83,1010,1008,1006,10,7,3,11,6,,0.00,7,Rain-Thunderstorm,316<br />
2011-1-11,27,26,24,24,23,23,100,90,79,1010,1008,1006,10,9,5,11,6,,0.00,6,Rain,336<br />
2011-1-12,31,28,25,25,23,23,94,84,66,1009,1008,1006,10,9,6,19,6,,0.00,5,Rain-Thunderstorm,8<br />
