Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Boon Lay (West),2014,12,1,11,6.5,7,7.5,—,—,—,—,—
Boon Lay (West),2014,12,2,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,3,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,4,48.5,13.5,15,26.5,—,—,—,—,—
Boon Lay (West),2014,12,5,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,6,1.5,1,1.5,1.5,—,—,—,—,—
Boon Lay (West),2014,12,7,55,35.5,43,49.5,—,—,—,—,—
Boon Lay (West),2014,12,8,5,4,4.5,4.5,—,—,—,—,—
Boon Lay (West),2014,12,9,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,10,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,11,53,27,30.5,49.5,—,—,—,—,—
Boon Lay (West),2014,12,12,10.2,8.6,9.2,9.2,—,—,—,—,—
Boon Lay (West),2014,12,13,40.4,23.2,28.6,37.8,—,—,—,—,—
Boon Lay (West),2014,12,14,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,15,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,16,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,17,62.4,44,56.2,61.4,—,—,—,—,—
Boon Lay (West),2014,12,18,41.2,28.8,37.6,41,—,—,—,—,—
Boon Lay (West),2014,12,19,13.2,2,3.2,5.4,—,—,—,—,—
Boon Lay (West),2014,12,20,12.8,10.2,12.6,12.8,—,—,—,—,—
Boon Lay (West),2014,12,21,7.4,3.6,4.6,6.4,—,—,—,—,—
Boon Lay (West),2014,12,22,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,23,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,24,27.2,14.4,24.4,26.6,—,—,—,—,—
Boon Lay (West),2014,12,25,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,26,41.8,16.8,23.2,25.6,—,—,—,—,—
Boon Lay (West),2014,12,27,25.2,20.6,20.8,20.8,—,—,—,—,—
Boon Lay (West),2014,12,28,1,0.6,0.8,1,—,—,—,—,—
Boon Lay (West),2014,12,29,12,5.2,9.4,11.8,—,—,—,—,—
Boon Lay (West),2014,12,30,0,0,0,0,—,—,—,—,—
Boon Lay (West),2014,12,31,0,0,0,0,—,—,—,—,—
