Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Buangkok,2015,6,1,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,2,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,3,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,4,1.6,1,1.6,1.6,—,—,—,—,—
Buangkok,2015,6,5,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,6,17,13,13.6,14.6,—,—,—,—,—
Buangkok,2015,6,7,5.4,1.8,3,4.6,—,—,—,—,—
Buangkok,2015,6,8,2.4,2.2,2.2,2.2,—,—,—,—,—
Buangkok,2015,6,9,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,10,1.6,1.6,1.6,1.6,—,—,—,—,—
Buangkok,2015,6,11,0.6,0.6,0.6,0.6,—,—,—,—,—
Buangkok,2015,6,12,9.8,4.2,6,6.6,—,—,—,—,—
Buangkok,2015,6,13,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,14,13.2,5.8,9,12.2,—,—,—,—,—
Buangkok,2015,6,15,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,16,1.4,0.8,0.8,0.8,—,—,—,—,—
Buangkok,2015,6,17,1.2,0.8,0.8,0.8,—,—,—,—,—
Buangkok,2015,6,18,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,19,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,20,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,21,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,22,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,23,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,24,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,25,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,26,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,27,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,28,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,29,0,0,0,0,—,—,—,—,—
Buangkok,2015,6,30,0,0,0,0,—,—,—,—,—
