Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2015,12,1,27.8,17,23.6,26.2,—,—,—,—,—
Bukit Panjang,2015,12,2,3.8,2.2,3.4,3.8,—,—,—,—,—
Bukit Panjang,2015,12,3,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,4,3.6,2.8,3.6,3.6,—,—,—,—,—
Bukit Panjang,2015,12,5,34.4,15.2,21.2,28.8,—,—,—,—,—
Bukit Panjang,2015,12,6,6.6,6,6,6.2,—,—,—,—,—
Bukit Panjang,2015,12,7,0.2,0.2,0.2,0.2,—,—,—,—,—
Bukit Panjang,2015,12,8,24.6,17.8,17.8,17.8,—,—,—,—,—
Bukit Panjang,2015,12,9,12,5.2,5.6,5.8,—,—,—,—,—
Bukit Panjang,2015,12,10,16.2,8.2,8.2,8.2,—,—,—,—,—
Bukit Panjang,2015,12,11,23.6,22,23.6,23.6,—,—,—,—,—
Bukit Panjang,2015,12,12,22.4,9,16.8,19.4,—,—,—,—,—
Bukit Panjang,2015,12,13,12.6,3.6,3.8,4.6,—,—,—,—,—
Bukit Panjang,2015,12,14,8.6,8,8,8,—,—,—,—,—
Bukit Panjang,2015,12,15,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,16,1,1,1,1,—,—,—,—,—
Bukit Panjang,2015,12,17,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,18,7.2,6.2,6.6,6.6,—,—,—,—,—
Bukit Panjang,2015,12,19,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,20,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,21,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,22,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,23,4,3.6,3.8,4,—,—,—,—,—
Bukit Panjang,2015,12,24,8.2,5.2,6.6,7.2,—,—,—,—,—
Bukit Panjang,2015,12,25,1.6,1.6,1.6,1.6,—,—,—,—,—
Bukit Panjang,2015,12,26,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,27,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,28,26,15,25.2,26,—,—,—,—,—
Bukit Panjang,2015,12,29,14.6,4.6,5.2,5.2,—,—,—,—,—
Bukit Panjang,2015,12,30,0,0,0,0,—,—,—,—,—
Bukit Panjang,2015,12,31,2.6,1.8,1.8,1.8,—,—,—,—,—
