Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2015,9,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,2,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,3,3.4,1.6,1.8,1.8,—,—,—,—,—
Bukit Timah,2015,9,4,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,7,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,8,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,9,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,10,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,11,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,14,2.4,2.2,2.4,2.4,—,—,—,—,—
Bukit Timah,2015,9,15,66.4,29.6,30.2,32.2,—,—,—,—,—
Bukit Timah,2015,9,16,15.4,15.2,15.2,15.2,—,—,—,—,—
Bukit Timah,2015,9,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,18,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,19,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,20,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,21,1.4,1.2,1.4,1.4,—,—,—,—,—
Bukit Timah,2015,9,22,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,28,74,35.4,65.6,71,—,—,—,—,—
Bukit Timah,2015,9,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2015,9,30,3.2,3.2,3.2,3.2,—,—,—,—,—
