Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Buona Vista,2016,7,1,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,2,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,3,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,4,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,5,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,6,7.6,7,7.4,7.4,—,—,—,—,—
Buona Vista,2016,7,7,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,8,13,5.2,8.6,12.8,—,—,—,—,—
Buona Vista,2016,7,9,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,10,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,11,18.2,11.4,15,17.2,—,—,—,—,—
Buona Vista,2016,7,12,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,13,2.6,1.2,1.8,2.2,—,—,—,—,—
Buona Vista,2016,7,14,7.2,5.8,6.8,6.8,—,—,—,—,—
Buona Vista,2016,7,15,31.8,21,29.8,31.6,—,—,—,—,—
Buona Vista,2016,7,16,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,17,1.4,0.8,1,1,—,—,—,—,—
Buona Vista,2016,7,18,3.8,2.4,2.4,2.4,—,—,—,—,—
Buona Vista,2016,7,19,4,1.2,2,3.4,—,—,—,—,—
Buona Vista,2016,7,20,52.2,16.6,23.4,38.8,—,—,—,—,—
Buona Vista,2016,7,21,14.6,6.8,9.4,11.4,—,—,—,—,—
Buona Vista,2016,7,22,28.4,18.2,22.4,26,—,—,—,—,—
Buona Vista,2016,7,23,5.4,4.2,4.6,4.6,—,—,—,—,—
Buona Vista,2016,7,24,5,2,2.4,2.6,—,—,—,—,—
Buona Vista,2016,7,25,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,26,24.4,11.8,22,23,—,—,—,—,—
Buona Vista,2016,7,27,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,28,18,17.4,18,18,—,—,—,—,—
Buona Vista,2016,7,29,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,30,0,0,0,0,—,—,—,—,—
Buona Vista,2016,7,31,0,0,0,0,—,—,—,—,—
