Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Chai Chee,2014,8,1,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,2,11.8,11.8,11.8,11.8,—,—,—,—,—
Chai Chee,2014,8,3,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,4,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,5,6.8,3.8,4.2,4.6,—,—,—,—,—
Chai Chee,2014,8,6,0.6,0.6,0.6,0.6,—,—,—,—,—
Chai Chee,2014,8,7,3.2,3,3.2,3.2,—,—,—,—,—
Chai Chee,2014,8,8,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,9,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,10,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,11,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,12,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,13,1.4,0.6,0.8,1.2,—,—,—,—,—
Chai Chee,2014,8,14,36,21.6,32.6,36,—,—,—,—,—
Chai Chee,2014,8,15,25.8,19.6,25.2,25.2,—,—,—,—,—
Chai Chee,2014,8,16,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,17,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,18,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,19,2.2,1.8,1.8,1.8,—,—,—,—,—
Chai Chee,2014,8,20,3.2,2.2,2.2,3.2,—,—,—,—,—
Chai Chee,2014,8,21,1.4,1.4,1.4,1.4,—,—,—,—,—
Chai Chee,2014,8,22,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,23,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,24,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,25,40.4,16.2,25.4,36.8,—,—,—,—,—
Chai Chee,2014,8,26,0.8,0.6,0.6,0.8,—,—,—,—,—
Chai Chee,2014,8,27,21.6,9,12.6,20,—,—,—,—,—
Chai Chee,2014,8,28,12.8,8.8,11.4,12.2,—,—,—,—,—
Chai Chee,2014,8,29,0.4,0.2,0.4,0.4,—,—,—,—,—
Chai Chee,2014,8,30,0,0,0,0,—,—,—,—,—
Chai Chee,2014,8,31,0,0,0,0,—,—,—,—,—
