Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2014,11,1,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,2,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,3,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,4,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,5,5,3.4,4.6,5,—,—,—,—,—
Choa Chu Kang (Central),2014,11,6,9,6.6,7,7.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,7,4.8,4.2,4.4,4.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,8,59.8,19,27.4,39,—,—,—,—,—
Choa Chu Kang (Central),2014,11,9,13.4,6,6.4,9.6,—,—,—,—,—
Choa Chu Kang (Central),2014,11,10,2,1.8,2,2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,11,2,1,1.4,2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,12,17.4,15.4,17.2,17.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,13,1,1,1,1,—,—,—,—,—
Choa Chu Kang (Central),2014,11,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,15,6.2,5.4,5.6,5.8,—,—,—,—,—
Choa Chu Kang (Central),2014,11,16,0.2,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,17,51.2,32.6,49.6,51,—,—,—,—,—
Choa Chu Kang (Central),2014,11,18,3.2,1,1.4,2.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,19,4.2,4,4.2,4.2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,20,17.8,15,17.4,17.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,21,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,22,10.6,9.4,10.4,10.4,—,—,—,—,—
Choa Chu Kang (Central),2014,11,23,8,7.2,7.6,7.6,—,—,—,—,—
Choa Chu Kang (Central),2014,11,24,2.8,2.2,2.2,2.2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,25,0.4,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (Central),2014,11,26,17,13.4,14.2,16.8,—,—,—,—,—
Choa Chu Kang (Central),2014,11,27,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,28,0,0,0,0,—,—,—,—,—
Choa Chu Kang (Central),2014,11,29,8.4,6.6,7.2,7.6,—,—,—,—,—
Choa Chu Kang (Central),2014,11,30,0,0,0,0,—,—,—,—,—
