Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2015,4,1,15.2,13,15.2,15.2,26.9,33.2,24.4,3.6,29.9
Choa Chu Kang (South),2015,4,2,37.6,34.8,36.6,37.6,26.4,33.4,22.8,4.3,44.6
Choa Chu Kang (South),2015,4,3,1,0.8,0.8,0.8,27.3,31.3,24.5,3.5,27
Choa Chu Kang (South),2015,4,4,7,6.2,6.4,6.4,27.8,33.4,24.6,3.5,41
Choa Chu Kang (South),2015,4,5,10.2,9.4,9.4,9.4,27.2,30.5,24.9,2.4,21.6
Choa Chu Kang (South),2015,4,6,3,2.8,3,3,28.3,33.1,25.7,4.3,23.4
Choa Chu Kang (South),2015,4,7,0,0,0,0,28.6,33.4,25.7,5.4,25.9
Choa Chu Kang (South),2015,4,8,0,0,0,0,29.1,34.5,25.8,5.6,24.5
Choa Chu Kang (South),2015,4,9,0,0,0,0,29.1,33.2,26.8,7.4,31
Choa Chu Kang (South),2015,4,10,0,0,0,0,29.6,33.5,26.6,6.5,27.7
Choa Chu Kang (South),2015,4,11,25.4,15,25,25.4,27.1,31.4,24,3.9,27
Choa Chu Kang (South),2015,4,12,5,4.8,5,5,27.3,33.9,24.4,3.9,24.5
Choa Chu Kang (South),2015,4,13,0,0,0,0,29.1,34.8,25,5.4,28.4
Choa Chu Kang (South),2015,4,14,0,0,0,0,29.3,34.2,25.3,5.5,29.5
Choa Chu Kang (South),2015,4,15,0,0,0,0,29,33.3,25.5,5.8,30.2
Choa Chu Kang (South),2015,4,16,0,0,0,0,29.7,33.9,26.6,6.4,30.2
Choa Chu Kang (South),2015,4,17,22.4,16.4,17.6,19,28.5,33,25.3,5.3,27
Choa Chu Kang (South),2015,4,18,22.4,19.6,22.2,22.2,28.4,33.7,24.7,3.4,34.6
Choa Chu Kang (South),2015,4,19,1,0.6,0.8,1,27.8,33.6,24.2,4.2,26.3
Choa Chu Kang (South),2015,4,20,0,0,0,0,28.3,34.7,25.2,3.4,18.7
Choa Chu Kang (South),2015,4,21,1.4,0.6,0.8,0.8,27.8,33.9,24.6,3.7,23.4
Choa Chu Kang (South),2015,4,22,34.4,13.6,17.8,23.4,27.3,33.3,24.3,5,42.8
Choa Chu Kang (South),2015,4,23,15,14.4,14.4,14.4,26.9,32.6,24.5,3.6,33.8
Choa Chu Kang (South),2015,4,24,10.8,8.4,10.4,10.8,26.6,33.3,24.4,3.4,30.2
Choa Chu Kang (South),2015,4,25,8.8,7.2,8,8.8,26.6,32.1,24,3.8,34.6
Choa Chu Kang (South),2015,4,26,4.8,3.2,3.4,3.4,27.2,32.2,24.3,4.1,33.8
Choa Chu Kang (South),2015,4,27,16,15,15.8,16,27,32.5,23.9,3,32
Choa Chu Kang (South),2015,4,28,33.4,18.4,20.6,22.8,26.9,34.3,23.6,4.6,32
Choa Chu Kang (South),2015,4,29,0,0,0,0,28,32.8,24.5,3.5,17.6
Choa Chu Kang (South),2015,4,30,3.4,1.8,2.2,2.2,27.3,32.1,25.2,3.8,28.8
