Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (West),2015,10,1,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,2,27.8,22.2,24,26.4,—,—,—,—,—
Choa Chu Kang (West),2015,10,3,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,4,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,5,5.4,5.4,5.4,5.4,—,—,—,—,—
Choa Chu Kang (West),2015,10,6,9.6,8,9.4,9.6,—,—,—,—,—
Choa Chu Kang (West),2015,10,7,21,16.4,19.4,19.4,—,—,—,—,—
Choa Chu Kang (West),2015,10,8,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,9,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,10,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,11,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (West),2015,10,13,25.6,24.2,25.4,25.6,—,—,—,—,—
Choa Chu Kang (West),2015,10,14,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,15,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,16,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,17,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,18,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,19,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,20,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,21,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,22,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,23,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,24,12,10.6,10.8,10.8,—,—,—,—,—
Choa Chu Kang (West),2015,10,25,1,0.8,0.8,0.8,—,—,—,—,—
Choa Chu Kang (West),2015,10,26,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,27,21.6,10.6,19,20.4,—,—,—,—,—
Choa Chu Kang (West),2015,10,28,15.4,8.6,10.6,13.6,—,—,—,—,—
Choa Chu Kang (West),2015,10,29,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2015,10,30,3.8,2.2,3.4,3.8,—,—,—,—,—
Choa Chu Kang (West),2015,10,31,24.4,11.4,21.8,24.4,—,—,—,—,—
