Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2015,5,1,0,0,0,0,29.1,32.2,26.9,5.3,24.5
Jurong Island,2015,5,2,2.4,1.4,2.2,2.2,28.4,30.8,25.8,4.7,24.5
Jurong Island,2015,5,3,31.8,15.2,22.6,26.2,27.4,29.5,24.4,9.3,55.1
Jurong Island,2015,5,4,0,0,0,0,28.8,31.5,27.5,8.7,29.9
Jurong Island,2015,5,5,0,0,0,0,29.5,32.8,26.5,7.6,24.5
Jurong Island,2015,5,6,6.6,6,6.4,6.6,29.2,32.5,25,6.4,24.5
Jurong Island,2015,5,7,0,0,0,0,29.2,31.7,28.4,13.1,37.4
Jurong Island,2015,5,8,6.8,6,6.6,6.6,28.6,30.4,26.5,11.6,39.6
Jurong Island,2015,5,9,0,0,0,0,28.9,31.8,26.7,11.4,30.2
Jurong Island,2015,5,10,0,0,0,0,29.6,32.1,28.3,15,34.6
Jurong Island,2015,5,11,0,0,0,0,30.1,33.1,28.4,16.6,33.5
Jurong Island,2015,5,12,0,0,0,0,29.6,32,28.4,13.6,36
Jurong Island,2015,5,13,0,0,0,0,29.5,32.1,27.8,9.6,30.6
Jurong Island,2015,5,14,0,0,0,0,29.4,32.2,27.2,11.6,31.3
Jurong Island,2015,5,15,4,2.4,3.4,3.4,27.4,28.8,25.5,5.6,34.2
Jurong Island,2015,5,16,0,0,0,0,28.7,30.9,27.6,10.7,29.5
Jurong Island,2015,5,17,0,0,0,0,29.7,32.4,27.8,9.7,27.7
Jurong Island,2015,5,18,5.2,3.8,4.6,5.2,28.9,32.3,25.5,8.5,43.6
Jurong Island,2015,5,19,0,0,0,0,29.6,32.3,28.2,10.6,32.8
Jurong Island,2015,5,20,0,0,0,0,29.3,31.6,28.1,12.2,31.3
Jurong Island,2015,5,21,0,0,0,0,30,33.5,28.7,14.9,38.2
Jurong Island,2015,5,22,3.4,3.4,3.4,3.4,28.9,30.4,26.9,11.2,31
Jurong Island,2015,5,23,6.6,1.2,2,3,27.1,28.5,25.3,6.4,30.2
Jurong Island,2015,5,24,0,0,0,0,29.1,31.9,27,8,27.7
Jurong Island,2015,5,25,0,0,0,0,29,31.6,28.1,9.5,34.9
Jurong Island,2015,5,26,0,0,0,0,29.4,32.6,27.7,10.1,36
Jurong Island,2015,5,27,0,0,0,0,28.8,31.2,27.2,10.2,33.5
Jurong Island,2015,5,28,0,0,0,0,29.5,32.1,27.3,9.5,31.7
Jurong Island,2015,5,29,0,0,0,0,30.3,33.3,28.8,15.5,36.7
Jurong Island,2015,5,30,0,0,0,0,30.2,33.9,28.8,17.2,36.4
Jurong Island,2015,5,31,0,0,0,0,30,33.4,28,10.6,32.8
