Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Khatib,2014,12,1,9.4,6.6,6.8,6.8,26,29.4,23.1,2.9,33.1
Khatib,2014,12,2,0,0,0,0,27.4,32.8,24,3.2,17.6
Khatib,2014,12,3,0,0,0,0,28.4,33.8,24.2,4,21.2
Khatib,2014,12,4,78.2,32.6,53.2,70.6,25.4,27.2,22.3,3.8,31.3
Khatib,2014,12,5,0,0,0,0,27.9,33.1,23.7,4.2,18.7
Khatib,2014,12,6,5,2.8,4.2,4.6,26.8,29.9,23.3,3.9,32.4
Khatib,2014,12,7,9.4,8,8.2,8.2,26.8,33.5,24.3,4.3,26.6
Khatib,2014,12,8,0.6,0.4,0.4,0.4,27,30.7,24.1,4.3,19.1
Khatib,2014,12,9,0.2,0.2,0.2,0.2,27.9,32.2,24.3,5.7,28.1
Khatib,2014,12,10,0,0,0,0,28.5,33.5,25.6,6.4,26.6
Khatib,2014,12,11,26.8,19,20.2,20.6,27.2,32.9,23.8,5,30.6
Khatib,2014,12,12,2.8,1.8,1.8,1.8,28,32.5,24.2,5.6,28.8
Khatib,2014,12,13,0.4,0.2,0.2,0.2,27.6,32.5,24.7,5,27.4
Khatib,2014,12,14,0,0,0,0,28.5,33.2,24.7,5.5,29.2
Khatib,2014,12,15,0,0,0,0,27.9,32.3,25.1,5.9,29.2
Khatib,2014,12,16,2.4,1.4,2.2,2.4,26.7,30.3,24.2,4.2,18.7
Khatib,2014,12,17,47.2,38.2,44.8,46.8,25.9,30.9,23.2,3.5,24.5
Khatib,2014,12,18,32,28,32,32,27.1,32.6,24,5.3,28.1
Khatib,2014,12,19,28.2,6.8,10.8,15.8,24.8,26,24,3.8,22.7
Khatib,2014,12,20,2,1.8,1.8,1.8,26.6,33,23.4,4.2,31.7
Khatib,2014,12,21,2.6,2.6,2.6,2.6,26.8,32.1,23.9,4.8,27
Khatib,2014,12,22,0,0,0,0,26.9,30.7,24.3,4.7,23.8
Khatib,2014,12,23,0,0,0,0,26.3,29.5,24.7,4.6,21.2
Khatib,2014,12,24,4.2,3.8,4.2,4.2,26.5,31.2,24.5,4.2,20.2
Khatib,2014,12,25,0,0,0,0,27,31.3,24.2,3.5,15.1
Khatib,2014,12,26,67.4,30.6,35.2,44,24.8,29.2,23.1,3.8,23
Khatib,2014,12,27,8.2,3.2,4.8,6.2,25.5,30.9,22.6,3.5,22.7
Khatib,2014,12,28,1.8,1.6,1.8,1.8,26.2,30,23.6,5.8,26.6
Khatib,2014,12,29,1.8,0.8,1.2,1.4,25.7,30,23.7,7.8,37.8
Khatib,2014,12,30,0,0,0,0,25.3,26.8,24.1,7.4,33.5
Khatib,2014,12,31,0,0,0,0,26.2,29.2,24.5,6,27.7
