Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2015,11,1,7.8,7.8,7.8,7.8,—,—,—,—,—
Mandai,2015,11,2,11,10.4,11,11,—,—,—,—,—
Mandai,2015,11,3,2,1.8,1.8,1.8,—,—,—,—,—
Mandai,2015,11,4,0,0,0,0,—,—,—,—,—
Mandai,2015,11,5,0,0,0,0,—,—,—,—,—
Mandai,2015,11,6,0,0,0,0,—,—,—,—,—
Mandai,2015,11,7,11,4.4,6,6,—,—,—,—,—
Mandai,2015,11,8,15.6,12.2,15,15,—,—,—,—,—
Mandai,2015,11,9,16.6,14.6,16.6,16.6,—,—,—,—,—
Mandai,2015,11,10,0,0,0,0,—,—,—,—,—
Mandai,2015,11,11,25.2,18.2,20.8,24.8,—,—,—,—,—
Mandai,2015,11,12,2,2,2,2,—,—,—,—,—
Mandai,2015,11,13,22.6,7.2,11,14,—,—,—,—,—
Mandai,2015,11,14,0,0,0,0,—,—,—,—,—
Mandai,2015,11,15,5.6,5.2,5.2,5.4,—,—,—,—,—
Mandai,2015,11,16,48.4,27.2,38.8,45.8,—,—,—,—,—
Mandai,2015,11,17,22.8,12.2,17.8,21.2,—,—,—,—,—
Mandai,2015,11,18,0,0,0,0,—,—,—,—,—
Mandai,2015,11,19,1.6,1.6,1.6,1.6,—,—,—,—,—
Mandai,2015,11,20,2.8,1.6,2.2,2.8,—,—,—,—,—
Mandai,2015,11,21,13.6,4.6,8.4,10.2,—,—,—,—,—
Mandai,2015,11,22,0,0,0,0,—,—,—,—,—
Mandai,2015,11,23,0,0,0,0,—,—,—,—,—
Mandai,2015,11,24,32.6,18.8,20.2,29.6,—,—,—,—,—
Mandai,2015,11,25,19,17.4,17.8,18.2,—,—,—,—,—
Mandai,2015,11,26,13.8,6.6,8.2,8.4,—,—,—,—,—
Mandai,2015,11,27,0,0,0,0,—,—,—,—,—
Mandai,2015,11,28,9,9,9,9,—,—,—,—,—
Mandai,2015,11,29,1,0.4,0.4,0.6,—,—,—,—,—
Mandai,2015,11,30,25.6,11.2,12.2,13.2,—,—,—,—,—
