Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marine Parade,2016,1,1,1,0.6,0.6,0.6,—,—,—,—,—
Marine Parade,2016,1,2,14.8,5.4,8,11.8,—,—,—,—,—
Marine Parade,2016,1,3,7.6,4.2,4.6,4.8,—,—,—,—,—
Marine Parade,2016,1,4,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,5,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,6,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,7,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,8,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,9,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,10,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,11,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,12,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,13,0.2,0.2,0.2,0.2,—,—,—,—,—
Marine Parade,2016,1,14,2,2,2,2,—,—,—,—,—
Marine Parade,2016,1,15,6.4,5.4,5.4,6.2,—,—,—,—,—
Marine Parade,2016,1,16,15.6,10.4,15.4,15.4,—,—,—,—,—
Marine Parade,2016,1,17,5,3.2,4.4,4.6,—,—,—,—,—
Marine Parade,2016,1,18,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,19,0.6,0.6,0.6,0.6,—,—,—,—,—
Marine Parade,2016,1,20,0.4,0.4,0.4,0.4,—,—,—,—,—
Marine Parade,2016,1,21,0.4,0.2,0.2,0.4,—,—,—,—,—
Marine Parade,2016,1,22,1.8,0.8,1.4,1.8,—,—,—,—,—
Marine Parade,2016,1,23,11.2,5.8,11.2,11.2,—,—,—,—,—
Marine Parade,2016,1,24,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,25,1,0.6,0.6,0.6,—,—,—,—,—
Marine Parade,2016,1,26,10.2,5.8,5.8,6.8,—,—,—,—,—
Marine Parade,2016,1,27,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,28,4.4,2,2.4,2.4,—,—,—,—,—
Marine Parade,2016,1,29,1.8,1.8,1.8,1.8,—,—,—,—,—
Marine Parade,2016,1,30,0,0,0,0,—,—,—,—,—
Marine Parade,2016,1,31,0,0,0,0,—,—,—,—,—
