Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Nicoll Highway,2016,8,1,10.4,10.4,10.4,10.4,—,—,—,—,—
Nicoll Highway,2016,8,2,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,3,11.2,7.8,9.4,10,—,—,—,—,—
Nicoll Highway,2016,8,4,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,5,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,6,3.6,3.4,3.6,3.6,—,—,—,—,—
Nicoll Highway,2016,8,7,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,8,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,9,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,10,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,11,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,12,11.8,11.4,11.6,11.6,—,—,—,—,—
Nicoll Highway,2016,8,13,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Nicoll Highway,2016,8,15,0.8,0.8,0.8,0.8,—,—,—,—,—
Nicoll Highway,2016,8,16,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,17,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,18,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,19,25.8,21.8,22.6,24,—,—,—,—,—
Nicoll Highway,2016,8,20,0.6,0.6,0.6,0.6,—,—,—,—,—
Nicoll Highway,2016,8,21,2,0.8,1,1.4,—,—,—,—,—
Nicoll Highway,2016,8,22,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,23,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,24,24.8,15.2,20.2,23.8,—,—,—,—,—
Nicoll Highway,2016,8,25,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,26,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,27,9.2,6,6.4,7.4,—,—,—,—,—
Nicoll Highway,2016,8,28,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,29,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,8,30,5.6,3,4.2,5,—,—,—,—,—
Nicoll Highway,2016,8,31,5.2,5.2,5.2,5.2,—,—,—,—,—
