Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2015,5,1,0,0,0,0,28.8,32.2,26.8,7.1,20.2
Pasir Panjang,2015,5,2,0.8,0.8,0.8,0.8,28.5,30.2,25.7,8.5,29.5
Pasir Panjang,2015,5,3,30,14.8,22.4,25.2,27.5,29.2,24.8,12,60.8
Pasir Panjang,2015,5,4,0,0,0,0,29,32,27.4,7,32.8
Pasir Panjang,2015,5,5,0,0,0,0,29.4,32.2,26.8,7.3,21.2
Pasir Panjang,2015,5,6,26.4,15.6,21,26.4,29,31.1,23.9,7.6,41.8
Pasir Panjang,2015,5,7,0.2,0.2,0.2,0.2,29.6,32.4,28.7,9.3,27.7
Pasir Panjang,2015,5,8,0,0,0,0,29.2,30.9,27.9,9.3,34.6
Pasir Panjang,2015,5,9,0,0,0,0,29.2,31.9,27.5,10.1,25.6
Pasir Panjang,2015,5,10,0.6,0.6,0.6,0.6,29.7,31.7,27.7,10.3,29.9
Pasir Panjang,2015,5,11,0,0,0,0,30.6,33.8,28.7,11.4,26.6
Pasir Panjang,2015,5,12,0,0,0,0,29.7,31.8,28.3,9.9,31.3
Pasir Panjang,2015,5,13,0,0,0,0,29.8,32.1,28.4,8,25.9
Pasir Panjang,2015,5,14,7.2,7,7.2,7.2,29.3,32.4,25.8,9.3,28.1
Pasir Panjang,2015,5,15,20,14.6,18.6,18.8,27.6,29.5,24.5,7.2,43.2
Pasir Panjang,2015,5,16,0,0,0,0,28.8,30.6,27.3,9.3,28.1
Pasir Panjang,2015,5,17,0,0,0,0,29.8,32,28.3,8.5,22.7
Pasir Panjang,2015,5,18,5,2.4,4,4.2,29.1,31.1,26.3,7.3,37.1
Pasir Panjang,2015,5,19,0,0,0,0,29.9,32.5,27.7,8.8,25.6
Pasir Panjang,2015,5,20,5,5,5,5,29.4,31.1,27.7,9.2,27
Pasir Panjang,2015,5,21,0,0,0,0,30,32.9,27.7,9.5,27
Pasir Panjang,2015,5,22,0,0,0,0,29.3,30.8,28.5,9.3,29.2
Pasir Panjang,2015,5,23,18.4,5.6,10.6,13.6,27.4,29.2,25.1,8.4,36.4
Pasir Panjang,2015,5,24,0,0,0,0,29.2,31.8,27.2,8,24.8
Pasir Panjang,2015,5,25,0,0,0,0,29.4,31.9,28.2,8.2,27
Pasir Panjang,2015,5,26,1,0.8,1,1,29.4,32.1,26.7,8.4,25.9
Pasir Panjang,2015,5,27,0,0,0,0,29,31.6,26.4,8.1,26.6
Pasir Panjang,2015,5,28,0,0,0,0,29.6,32.6,27.6,8.7,26.3
Pasir Panjang,2015,5,29,0,0,0,0,30.4,32.8,29.1,11.5,32
Pasir Panjang,2015,5,30,2.2,2.2,2.2,2.2,30.4,33.1,29,11.8,27.7
Pasir Panjang,2015,5,31,0,0,0,0,30,33.5,28.2,10.4,24.5
