Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (Central),2016,4,1,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,2,0.4,0.4,0.4,0.4,—,—,—,—,—
Pasir Ris (Central),2016,4,3,4.2,3.8,4,4.2,—,—,—,—,—
Pasir Ris (Central),2016,4,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Pasir Ris (Central),2016,4,5,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,6,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,7,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,8,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,9,10.2,9.4,10.2,10.2,—,—,—,—,—
Pasir Ris (Central),2016,4,10,0.2,0.2,0.2,0.2,—,—,—,—,—
Pasir Ris (Central),2016,4,11,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,12,3.4,3.2,3.4,3.4,—,—,—,—,—
Pasir Ris (Central),2016,4,13,5.4,5,5,5.2,—,—,—,—,—
Pasir Ris (Central),2016,4,14,21,9.2,13.2,19.8,—,—,—,—,—
Pasir Ris (Central),2016,4,15,6,3.8,3.8,5,—,—,—,—,—
Pasir Ris (Central),2016,4,16,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,17,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,18,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,19,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,20,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,21,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,22,0.6,0.6,0.6,0.6,—,—,—,—,—
Pasir Ris (Central),2016,4,23,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,24,1.6,1.4,1.4,1.4,—,—,—,—,—
Pasir Ris (Central),2016,4,25,14.2,6.2,7,7.2,—,—,—,—,—
Pasir Ris (Central),2016,4,26,3.2,2.4,2.6,2.6,—,—,—,—,—
Pasir Ris (Central),2016,4,27,13.4,11.2,13.2,13.4,—,—,—,—,—
Pasir Ris (Central),2016,4,28,0,0,0,0,—,—,—,—,—
Pasir Ris (Central),2016,4,29,16,13.2,14.8,15,—,—,—,—,—
Pasir Ris (Central),2016,4,30,0,0,0,0,—,—,—,—,—
