Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2014,12,1,29.6,26,26.6,27,—,—,—,—,—
Pasir Ris (West),2014,12,2,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,3,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,4,13.8,3.2,6.2,10.4,—,—,—,—,—
Pasir Ris (West),2014,12,5,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,6,38.6,32.2,37.8,38.4,—,—,—,—,—
Pasir Ris (West),2014,12,7,20.8,10.4,12.2,12.4,—,—,—,—,—
Pasir Ris (West),2014,12,8,0.2,0.2,0.2,0.2,—,—,—,—,—
Pasir Ris (West),2014,12,9,2.4,2.4,2.4,2.4,—,—,—,—,—
Pasir Ris (West),2014,12,10,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,11,0.4,0.4,0.4,0.4,—,—,—,—,—
Pasir Ris (West),2014,12,12,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,13,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,14,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,15,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,16,2.4,1.2,2.2,2.4,—,—,—,—,—
Pasir Ris (West),2014,12,17,24.8,20.8,23.8,24.4,—,—,—,—,—
Pasir Ris (West),2014,12,18,1,0.5,0.5,0.5,—,—,—,—,—
Pasir Ris (West),2014,12,19,15.8,2.2,3.6,7,—,—,—,—,—
Pasir Ris (West),2014,12,20,1.2,1,1.2,1.2,—,—,—,—,—
Pasir Ris (West),2014,12,21,1.8,1.8,1.8,1.8,—,—,—,—,—
Pasir Ris (West),2014,12,22,2,0.8,1.4,1.4,—,—,—,—,—
Pasir Ris (West),2014,12,23,11.2,9.6,10,10.2,—,—,—,—,—
Pasir Ris (West),2014,12,24,1.6,1.2,1.2,1.2,—,—,—,—,—
Pasir Ris (West),2014,12,25,9.4,5.2,8.8,9,—,—,—,—,—
Pasir Ris (West),2014,12,26,58.6,23.2,31,37,—,—,—,—,—
Pasir Ris (West),2014,12,27,11,7.8,7.8,7.8,—,—,—,—,—
Pasir Ris (West),2014,12,28,1,0.6,0.8,1,—,—,—,—,—
Pasir Ris (West),2014,12,29,1.4,1,1.4,1.4,—,—,—,—,—
Pasir Ris (West),2014,12,30,0,0,0,0,—,—,—,—,—
Pasir Ris (West),2014,12,31,1.2,1.2,1.2,1.2,—,—,—,—,—
