Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2014,2,1,0,—,—,—,—,32.4,22.3,9.8,22.3
Paya Lebar,2014,2,2,0,—,—,—,—,30.6,22.8,9.3,20.5
Paya Lebar,2014,2,3,0,—,—,—,—,32,23.2,7.1,16.6
Paya Lebar,2014,2,4,0,—,—,—,—,33.4,23.2,7,16.6
Paya Lebar,2014,2,5,0,—,—,—,—,31.6,23.4,8.3,18.4
Paya Lebar,2014,2,6,0,—,—,—,—,32.5,23.4,8.5,18.4
Paya Lebar,2014,2,7,0,—,—,—,—,32.1,23.8,8,16.6
Paya Lebar,2014,2,8,25.8,—,—,—,—,32.1,23.9,6.5,14.8
Paya Lebar,2014,2,9,1.5,—,—,—,—,32.6,24.4,5,13
Paya Lebar,2014,2,10,0,—,—,—,—,34,24.6,5.9,14.8
Paya Lebar,2014,2,11,0,—,—,—,—,32.5,24.4,14.4,33.5
Paya Lebar,2014,2,12,0,—,—,—,—,32.9,24.5,16.7,38.9
Paya Lebar,2014,2,13,0,—,—,—,—,33.6,25.2,18.2,40.7
Paya Lebar,2014,2,14,0,—,—,—,—,32,25,18.4,38.9
Paya Lebar,2014,2,15,0,—,—,—,—,31.9,24.8,19.2,44.3
Paya Lebar,2014,2,16,0,—,—,—,—,32.2,25,16.2,38.9
Paya Lebar,2014,2,17,0,—,—,—,—,32,24.9,16.5,46.4
Paya Lebar,2014,2,18,0,—,—,—,—,32.7,24.8,15.1,33.5
Paya Lebar,2014,2,19,0,—,—,—,—,32.8,24.7,13.3,35.3
Paya Lebar,2014,2,20,0,—,—,—,—,32.6,25.1,19.7,40.7
Paya Lebar,2014,2,21,0,—,—,—,—,30.7,25,21.1,44.3
Paya Lebar,2014,2,22,0,—,—,—,—,33,25,23.9,48.2
Paya Lebar,2014,2,23,0,—,—,—,—,32.3,24.2,16.8,53.6
Paya Lebar,2014,2,24,0,—,—,—,—,31.9,23.9,17.7,46.4
Paya Lebar,2014,2,25,0,—,—,—,—,31.7,23.9,18,42.5
Paya Lebar,2014,2,26,0,—,—,—,—,32,24.2,18.2,42.5
Paya Lebar,2014,2,27,0,—,—,—,—,33,24.4,20.3,44.3
Paya Lebar,2014,2,28,0,—,—,—,—,32.7,24.8,17.9,42.5
