Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2014,10,1,—,—,—,—,—,—,—,—,—
Punggol,2014,10,2,0,0,0,0,—,—,—,—,—
Punggol,2014,10,3,0,0,0,0,—,—,—,—,—
Punggol,2014,10,4,97,59.4,88.4,97,—,—,—,—,—
Punggol,2014,10,5,0,0,0,0,—,—,—,—,—
Punggol,2014,10,6,0,0,0,0,—,—,—,—,—
Punggol,2014,10,7,0,0,0,0,—,—,—,—,—
Punggol,2014,10,8,0,0,0,0,—,—,—,—,—
Punggol,2014,10,9,0,0,0,0,—,—,—,—,—
Punggol,2014,10,10,0,0,0,0,—,—,—,—,—
Punggol,2014,10,11,0,0,0,0,—,—,—,—,—
Punggol,2014,10,12,0,0,0,0,—,—,—,—,—
Punggol,2014,10,13,0.8,0.6,0.8,0.8,—,—,—,—,—
Punggol,2014,10,14,0,0,0,0,—,—,—,—,—
Punggol,2014,10,15,0,0,0,0,—,—,—,—,—
Punggol,2014,10,16,8.4,4.2,7.6,7.8,—,—,—,—,—
Punggol,2014,10,17,0,0,0,0,—,—,—,—,—
Punggol,2014,10,18,2.8,1.6,1.6,1.8,—,—,—,—,—
Punggol,2014,10,19,0,0,0,0,—,—,—,—,—
Punggol,2014,10,20,0,0,0,0,—,—,—,—,—
Punggol,2014,10,21,3.8,1.4,2.6,2.6,—,—,—,—,—
Punggol,2014,10,22,4.8,1.8,3.2,4.4,—,—,—,—,—
Punggol,2014,10,23,0,0,0,0,—,—,—,—,—
Punggol,2014,10,24,0,0,0,0,—,—,—,—,—
Punggol,2014,10,25,0,0,0,0,—,—,—,—,—
Punggol,2014,10,26,1,1,1,1,—,—,—,—,—
Punggol,2014,10,27,17.8,16.6,16.8,16.8,—,—,—,—,—
Punggol,2014,10,28,0,0,0,0,—,—,—,—,—
Punggol,2014,10,29,0,0,0,0,—,—,—,—,—
Punggol,2014,10,30,1,0.8,1,1,—,—,—,—,—
Punggol,2014,10,31,11.2,6.8,7,9,—,—,—,—,—
