Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Queenstown,2014,7,1,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,2,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,3,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,4,1,1,1,1,—,—,—,—,—
Queenstown,2014,7,5,17.8,12.6,14.4,17.4,—,—,—,—,—
Queenstown,2014,7,6,5.6,5.6,5.6,5.6,—,—,—,—,—
Queenstown,2014,7,7,12,10.2,12,12,—,—,—,—,—
Queenstown,2014,7,8,7.4,4.4,5.6,7,—,—,—,—,—
Queenstown,2014,7,9,51.6,45.8,50,50.6,—,—,—,—,—
Queenstown,2014,7,10,2.2,2.2,2.2,2.2,—,—,—,—,—
Queenstown,2014,7,11,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,12,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,13,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,14,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,15,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,16,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,17,8,8,8,8,—,—,—,—,—
Queenstown,2014,7,18,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,19,0.6,0.6,0.6,0.6,—,—,—,—,—
Queenstown,2014,7,20,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,21,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,22,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,23,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,24,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,25,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,26,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,27,29,23.2,28.4,29,—,—,—,—,—
Queenstown,2014,7,28,0,0,0,0,—,—,—,—,—
Queenstown,2014,7,29,67,39.8,48.6,64.4,—,—,—,—,—
Queenstown,2014,7,30,29.2,26,26.8,29,—,—,—,—,—
Queenstown,2014,7,31,0,0,0,0,—,—,—,—,—
