Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Serangoon North,2015,5,1,0.2,0.2,0.2,0.2,—,—,—,—,—
Serangoon North,2015,5,2,1,0.8,0.8,1,—,—,—,—,—
Serangoon North,2015,5,3,33,9.2,14.6,24.4,—,—,—,—,—
Serangoon North,2015,5,4,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,5,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,6,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,7,1.4,0.8,0.8,0.8,—,—,—,—,—
Serangoon North,2015,5,8,2,2,2,2,—,—,—,—,—
Serangoon North,2015,5,9,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,10,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,11,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,12,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,13,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Serangoon North,2015,5,15,29,17.6,26.4,28.6,—,—,—,—,—
Serangoon North,2015,5,16,37.4,34.4,37.4,37.4,—,—,—,—,—
Serangoon North,2015,5,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Serangoon North,2015,5,18,10.4,7,9.8,10.4,—,—,—,—,—
Serangoon North,2015,5,19,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,20,0.4,0.2,0.2,0.4,—,—,—,—,—
Serangoon North,2015,5,21,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,22,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,23,23.4,13,18.2,18.8,—,—,—,—,—
Serangoon North,2015,5,24,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,25,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,26,43.8,33.6,40.2,43,—,—,—,—,—
Serangoon North,2015,5,27,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,28,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,29,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,30,0,0,0,0,—,—,—,—,—
Serangoon North,2015,5,31,0,0,0,0,—,—,—,—,—
