Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Serangoon,2016,6,1,7.8,4.8,6,6,—,—,—,—,—
Serangoon,2016,6,2,1.8,1.8,1.8,1.8,—,—,—,—,—
Serangoon,2016,6,3,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,4,1.8,0.4,0.6,0.6,—,—,—,—,—
Serangoon,2016,6,5,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,6,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,7,3.4,3.4,3.4,3.4,—,—,—,—,—
Serangoon,2016,6,8,5,2,2.4,4.8,—,—,—,—,—
Serangoon,2016,6,9,32.8,22,28.6,28.8,—,—,—,—,—
Serangoon,2016,6,10,13.2,12.4,13.2,13.2,—,—,—,—,—
Serangoon,2016,6,11,2.4,0.8,1.4,2.2,—,—,—,—,—
Serangoon,2016,6,12,0.4,0.4,0.4,0.4,—,—,—,—,—
Serangoon,2016,6,13,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Serangoon,2016,6,15,30.2,21.4,29.4,30.2,—,—,—,—,—
Serangoon,2016,6,16,1.8,1.4,1.4,1.4,—,—,—,—,—
Serangoon,2016,6,17,7.2,1.6,2.2,3.2,—,—,—,—,—
Serangoon,2016,6,18,0.4,0.2,0.2,0.2,—,—,—,—,—
Serangoon,2016,6,19,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,20,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,21,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,22,2.6,1,1.2,1.2,—,—,—,—,—
Serangoon,2016,6,23,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,24,45.4,15.8,26,37.4,—,—,—,—,—
Serangoon,2016,6,25,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,26,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,27,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,28,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,29,0,0,0,0,—,—,—,—,—
Serangoon,2016,6,30,0,0,0,0,—,—,—,—,—
