Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2015,10,1,1.4,1.4,1.4,1.4,—,—,—,—,—
Simei,2015,10,2,11.4,2.8,3.8,6.8,—,—,—,—,—
Simei,2015,10,3,0,0,0,0,—,—,—,—,—
Simei,2015,10,4,0,0,0,0,—,—,—,—,—
Simei,2015,10,5,1.8,1.8,1.8,1.8,—,—,—,—,—
Simei,2015,10,6,8.6,7.8,7.8,7.8,—,—,—,—,—
Simei,2015,10,7,20.4,20.4,20.4,20.4,—,—,—,—,—
Simei,2015,10,8,0,0,0,0,—,—,—,—,—
Simei,2015,10,9,0,0,0,0,—,—,—,—,—
Simei,2015,10,10,0,0,0,0,—,—,—,—,—
Simei,2015,10,11,0,0,0,0,—,—,—,—,—
Simei,2015,10,12,0,0,0,0,—,—,—,—,—
Simei,2015,10,13,0,0,0,0,—,—,—,—,—
Simei,2015,10,14,15.2,13.4,15.2,15.2,—,—,—,—,—
Simei,2015,10,15,0,0,0,0,—,—,—,—,—
Simei,2015,10,16,0,0,0,0,—,—,—,—,—
Simei,2015,10,17,0,0,0,0,—,—,—,—,—
Simei,2015,10,18,0,0,0,0,—,—,—,—,—
Simei,2015,10,19,0,0,0,0,—,—,—,—,—
Simei,2015,10,20,0,0,0,0,—,—,—,—,—
Simei,2015,10,21,0,0,0,0,—,—,—,—,—
Simei,2015,10,22,0,0,0,0,—,—,—,—,—
Simei,2015,10,23,0,0,0,0,—,—,—,—,—
Simei,2015,10,24,0,0,0,0,—,—,—,—,—
Simei,2015,10,25,1.2,1.2,1.2,1.2,—,—,—,—,—
Simei,2015,10,26,0,0,0,0,—,—,—,—,—
Simei,2015,10,27,0,0,0,0,—,—,—,—,—
Simei,2015,10,28,20.2,11.2,13.4,16.6,—,—,—,—,—
Simei,2015,10,29,0,0,0,0,—,—,—,—,—
Simei,2015,10,30,0.8,0.4,0.4,0.4,—,—,—,—,—
Simei,2015,10,31,0.4,0.4,0.4,0.4,—,—,—,—,—
