Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Somerset (Road),2015,1,1,0.4,0.2,0.2,0.2,—,—,—,—,—
Somerset (Road),2015,1,2,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,3,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,4,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,5,0.4,0.4,0.4,0.4,—,—,—,—,—
Somerset (Road),2015,1,6,65.6,42.2,57.2,60.6,—,—,—,—,—
Somerset (Road),2015,1,7,15.6,14,15.2,15.6,—,—,—,—,—
Somerset (Road),2015,1,8,31.8,17.4,26.8,29.8,—,—,—,—,—
Somerset (Road),2015,1,9,1.2,0.6,1,1.2,—,—,—,—,—
Somerset (Road),2015,1,10,2,1.8,2,2,—,—,—,—,—
Somerset (Road),2015,1,11,8,7,7.8,8,—,—,—,—,—
Somerset (Road),2015,1,12,4.4,4.4,4.4,4.4,—,—,—,—,—
Somerset (Road),2015,1,13,—,—,—,—,—,—,—,—,—
Somerset (Road),2015,1,14,—,—,—,—,—,—,—,—,—
Somerset (Road),2015,1,15,—,—,—,—,—,—,—,—,—
Somerset (Road),2015,1,16,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,17,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,18,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,19,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,20,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,21,5,3.4,5,5,—,—,—,—,—
Somerset (Road),2015,1,22,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,23,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,24,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,25,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,26,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,27,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,28,1.8,1.8,1.8,1.8,—,—,—,—,—
Somerset (Road),2015,1,29,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,30,0,0,0,0,—,—,—,—,—
Somerset (Road),2015,1,31,0,0,0,0,—,—,—,—,—
