Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,2014,4,1,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,2,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,3,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,4,6,5.2,6,6,—,—,—,—,—
Tanjong Katong,2014,4,5,18.8,6.4,8.4,13.6,—,—,—,—,—
Tanjong Katong,2014,4,6,0.4,0.2,0.2,0.2,—,—,—,—,—
Tanjong Katong,2014,4,7,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,8,2.2,1.8,2,2.2,—,—,—,—,—
Tanjong Katong,2014,4,9,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,10,5.2,4.8,4.8,4.8,—,—,—,—,—
Tanjong Katong,2014,4,11,14.6,11.6,12,14.6,—,—,—,—,—
Tanjong Katong,2014,4,12,1.6,0.6,1,1.6,—,—,—,—,—
Tanjong Katong,2014,4,13,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,14,44.6,30,41.6,44.6,—,—,—,—,—
Tanjong Katong,2014,4,15,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,16,2.6,2.4,2.6,2.6,—,—,—,—,—
Tanjong Katong,2014,4,17,3.4,2,3.2,3.4,—,—,—,—,—
Tanjong Katong,2014,4,18,26.8,14.2,16,26.8,—,—,—,—,—
Tanjong Katong,2014,4,19,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,20,0.2,0.2,0.2,0.2,—,—,—,—,—
Tanjong Katong,2014,4,21,4.6,1.8,3.4,3.6,—,—,—,—,—
Tanjong Katong,2014,4,22,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,23,0.8,0.8,0.8,0.8,—,—,—,—,—
Tanjong Katong,2014,4,24,1.4,0.8,1,1.4,—,—,—,—,—
Tanjong Katong,2014,4,25,0,0,0,0,—,—,—,—,—
Tanjong Katong,2014,4,26,4.6,4.4,4.6,4.6,—,—,—,—,—
Tanjong Katong,2014,4,27,37,33.6,36.6,37,—,—,—,—,—
Tanjong Katong,2014,4,28,24.4,10.8,12,21.4,—,—,—,—,—
Tanjong Katong,2014,4,29,6.2,6,6.2,6.2,—,—,—,—,—
Tanjong Katong,2014,4,30,0,0,0,0,—,—,—,—,—
