Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Pagar,2015,5,1,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,2,21.8,19,21.6,21.8,—,—,—,—,—
Tanjong Pagar,2015,5,3,50,22.2,31.2,41.2,—,—,—,—,—
Tanjong Pagar,2015,5,4,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,5,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,6,9.8,8.8,9.8,9.8,—,—,—,—,—
Tanjong Pagar,2015,5,7,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,8,0.8,0.6,0.8,0.8,—,—,—,—,—
Tanjong Pagar,2015,5,9,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,10,6.8,6.6,6.6,6.6,—,—,—,—,—
Tanjong Pagar,2015,5,11,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,12,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,13,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,14,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,15,2,0.6,0.8,1,—,—,—,—,—
Tanjong Pagar,2015,5,16,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,17,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,18,1.4,1.2,1.4,1.4,—,—,—,—,—
Tanjong Pagar,2015,5,19,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,20,15.6,14.8,14.8,14.8,—,—,—,—,—
Tanjong Pagar,2015,5,21,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,22,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,23,41.6,28.2,31.4,35,—,—,—,—,—
Tanjong Pagar,2015,5,24,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,25,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,26,16,14.6,15.6,16,—,—,—,—,—
Tanjong Pagar,2015,5,27,0.2,0.2,0.2,0.2,—,—,—,—,—
Tanjong Pagar,2015,5,28,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,29,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,30,0,0,0,0,—,—,—,—,—
Tanjong Pagar,2015,5,31,0,0,0,0,—,—,—,—,—
