Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Toa Payoh,2014,9,1,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,2,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,3,68,33,56.4,68,—,—,—,—,—
Toa Payoh,2014,9,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Toa Payoh,2014,9,5,0.8,0.8,0.8,0.8,—,—,—,—,—
Toa Payoh,2014,9,6,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,7,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,8,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,9,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,10,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,11,13.8,6.8,10.4,11.6,—,—,—,—,—
Toa Payoh,2014,9,12,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,13,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,14,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,15,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,16,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Toa Payoh,2014,9,18,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,19,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,20,18.6,16.6,18.2,18.4,—,—,—,—,—
Toa Payoh,2014,9,21,3.8,1.6,2.8,3.4,—,—,—,—,—
Toa Payoh,2014,9,22,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,23,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,24,0.6,0.4,0.6,0.6,—,—,—,—,—
Toa Payoh,2014,9,25,18.6,11,12.2,12.2,—,—,—,—,—
Toa Payoh,2014,9,26,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,27,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,28,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,29,0,0,0,0,—,—,—,—,—
Toa Payoh,2014,9,30,0,0,0,0,—,—,—,—,—
