Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas,2015,2,1,0,0,0,0,—,—,—,—,—
Tuas,2015,2,2,3.8,2.4,3.2,3.6,—,—,—,—,—
Tuas,2015,2,3,0,0,0,0,—,—,—,—,—
Tuas,2015,2,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Tuas,2015,2,5,0,0,0,0,—,—,—,—,—
Tuas,2015,2,6,27.4,9.6,16.4,24.6,—,—,—,—,—
Tuas,2015,2,7,0,0,0,0,—,—,—,—,—
Tuas,2015,2,8,0,0,0,0,—,—,—,—,—
Tuas,2015,2,9,0,0,0,0,—,—,—,—,—
Tuas,2015,2,10,0,0,0,0,—,—,—,—,—
Tuas,2015,2,11,0,0,0,0,—,—,—,—,—
Tuas,2015,2,12,0,0,0,0,—,—,—,—,—
Tuas,2015,2,13,0,0,0,0,—,—,—,—,—
Tuas,2015,2,14,0,0,0,0,—,—,—,—,—
Tuas,2015,2,15,0,0,0,0,—,—,—,—,—
Tuas,2015,2,16,0,0,0,0,—,—,—,—,—
Tuas,2015,2,17,0,0,0,0,—,—,—,—,—
Tuas,2015,2,18,6.6,4.6,5.6,6.4,—,—,—,—,—
Tuas,2015,2,19,31.6,12.4,22,28.6,—,—,—,—,—
Tuas,2015,2,20,0,0,0,0,—,—,—,—,—
Tuas,2015,2,21,0,0,0,0,—,—,—,—,—
Tuas,2015,2,22,0.4,0.4,0.4,0.4,—,—,—,—,—
Tuas,2015,2,23,7.2,6.4,7.2,7.2,—,—,—,—,—
Tuas,2015,2,24,0,0,0,0,—,—,—,—,—
Tuas,2015,2,25,23.6,14.4,18.2,23.4,—,—,—,—,—
Tuas,2015,2,26,14.6,11.4,14.2,14.6,—,—,—,—,—
Tuas,2015,2,27,0,0,0,0,—,—,—,—,—
Tuas,2015,2,28,0,0,0,0,—,—,—,—,—
