Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ulu Pandan,2015,5,1,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,2,1.5,1,1.5,1.5,—,—,—,—,—
Ulu Pandan,2015,5,3,84.5,36.5,55,77,—,—,—,—,—
Ulu Pandan,2015,5,4,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,5,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,6,1,1,1,1,—,—,—,—,—
Ulu Pandan,2015,5,7,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,8,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,9,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,10,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,11,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,12,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,13,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,14,9,6,8.5,9,—,—,—,—,—
Ulu Pandan,2015,5,15,15,10,13,14,—,—,—,—,—
Ulu Pandan,2015,5,16,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,17,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,18,10,5,8,9,—,—,—,—,—
Ulu Pandan,2015,5,19,47,37.5,44.5,47,—,—,—,—,—
Ulu Pandan,2015,5,20,0.5,0.5,0.5,0.5,—,—,—,—,—
Ulu Pandan,2015,5,21,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,22,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,23,11.5,5.5,5.5,6,—,—,—,—,—
Ulu Pandan,2015,5,24,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,25,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,26,1,1,1,1,—,—,—,—,—
Ulu Pandan,2015,5,27,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,28,0.5,0.5,0.5,0.5,—,—,—,—,—
Ulu Pandan,2015,5,29,0,0,0,0,—,—,—,—,—
Ulu Pandan,2015,5,30,0.5,0.5,0.5,0.5,—,—,—,—,—
Ulu Pandan,2015,5,31,0,0,0,0,—,—,—,—,—
