Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Peirce Reservoir,2014,1,1,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,2,1,1,1,1,—,—,—,—,—
Upper Peirce Reservoir,2014,1,3,2.6,2.4,2.6,2.6,—,—,—,—,—
Upper Peirce Reservoir,2014,1,4,5.4,3.6,5.4,5.4,—,—,—,—,—
Upper Peirce Reservoir,2014,1,5,5.4,1,1.8,2.6,—,—,—,—,—
Upper Peirce Reservoir,2014,1,6,55.6,13.2,14.4,17.8,—,—,—,—,—
Upper Peirce Reservoir,2014,1,7,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Peirce Reservoir,2014,1,8,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,9,1.4,0.8,1.4,1.4,—,—,—,—,—
Upper Peirce Reservoir,2014,1,10,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,11,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Peirce Reservoir,2014,1,13,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,14,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,15,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Peirce Reservoir,2014,1,16,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,17,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,18,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,19,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,20,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,21,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,22,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,23,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,24,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,25,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,26,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,27,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,28,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,29,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,30,0,0,0,0,—,—,—,—,—
Upper Peirce Reservoir,2014,1,31,0,0,0,0,—,—,—,—,—
