Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Thomson,2015,4,1,34.8,31.8,34,34.2,—,—,—,—,—
Upper Thomson,2015,4,2,28,26.4,26.8,28,—,—,—,—,—
Upper Thomson,2015,4,3,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,4,14.8,10.6,13.8,14.8,—,—,—,—,—
Upper Thomson,2015,4,5,7.2,4.8,6.2,6.2,—,—,—,—,—
Upper Thomson,2015,4,6,1.2,0.8,1,1,—,—,—,—,—
Upper Thomson,2015,4,7,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,8,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,9,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Thomson,2015,4,10,1.6,0.8,1.4,1.6,—,—,—,—,—
Upper Thomson,2015,4,11,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,12,18,16.8,18,18,—,—,—,—,—
Upper Thomson,2015,4,13,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Thomson,2015,4,14,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,15,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,16,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,17,1.2,1.2,1.2,1.2,—,—,—,—,—
Upper Thomson,2015,4,18,2.6,2.2,2.4,2.4,—,—,—,—,—
Upper Thomson,2015,4,19,0.4,0.4,0.4,0.4,—,—,—,—,—
Upper Thomson,2015,4,20,0,0,0,0,—,—,—,—,—
Upper Thomson,2015,4,21,16.2,10.4,14.6,15.8,—,—,—,—,—
Upper Thomson,2015,4,22,5.4,4.8,4.8,5,—,—,—,—,—
Upper Thomson,2015,4,23,24.8,23.2,24.6,24.6,—,—,—,—,—
Upper Thomson,2015,4,24,62,50,60,62,—,—,—,—,—
Upper Thomson,2015,4,25,14.6,12.4,13.6,14.2,—,—,—,—,—
Upper Thomson,2015,4,26,5,4,4,4,—,—,—,—,—
Upper Thomson,2015,4,27,17,17,17,17,—,—,—,—,—
Upper Thomson,2015,4,28,39.8,17.8,32.8,38,—,—,—,—,—
Upper Thomson,2015,4,29,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Thomson,2015,4,30,2,0.6,1,1.2,—,—,—,—,—
