Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Whampoa,2016,4,1,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,2,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,3,1,0.8,0.8,1,—,—,—,—,—
Whampoa,2016,4,4,6.2,6.2,6.2,6.2,—,—,—,—,—
Whampoa,2016,4,5,1.4,0.8,0.8,0.8,—,—,—,—,—
Whampoa,2016,4,6,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,7,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,8,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,9,27.8,14,20.8,26.6,—,—,—,—,—
Whampoa,2016,4,10,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,11,8,7.6,8,8,—,—,—,—,—
Whampoa,2016,4,12,0.8,0.6,0.8,0.8,—,—,—,—,—
Whampoa,2016,4,13,1.4,1.4,1.4,1.4,—,—,—,—,—
Whampoa,2016,4,14,0.4,0.4,0.4,0.4,—,—,—,—,—
Whampoa,2016,4,15,2,1,1,1.4,—,—,—,—,—
Whampoa,2016,4,16,4.8,4.6,4.6,4.6,—,—,—,—,—
Whampoa,2016,4,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Whampoa,2016,4,18,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,19,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,20,14.8,14.8,14.8,14.8,—,—,—,—,—
Whampoa,2016,4,21,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,22,23.6,18.8,22.4,23.6,—,—,—,—,—
Whampoa,2016,4,23,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,24,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,25,20.6,16.2,16.2,18.6,—,—,—,—,—
Whampoa,2016,4,26,1.6,1.6,1.6,1.6,—,—,—,—,—
Whampoa,2016,4,27,2.4,1.6,1.8,2.2,—,—,—,—,—
Whampoa,2016,4,28,0,0,0,0,—,—,—,—,—
Whampoa,2016,4,29,1.2,1.2,1.2,1.2,—,—,—,—,—
Whampoa,2016,4,30,1.2,1.2,1.2,1.2,—,—,—,—,—
