Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun,2015,8,1,0.8,0.2,0.4,0.4,—,—,—,—,—
Yishun,2015,8,2,0,0,0,0,—,—,—,—,—
Yishun,2015,8,3,6,1.4,2,2.8,—,—,—,—,—
Yishun,2015,8,4,12.4,6.4,8.6,11.2,—,—,—,—,—
Yishun,2015,8,5,0,0,0,0,—,—,—,—,—
Yishun,2015,8,6,17.4,14.8,16.2,17,—,—,—,—,—
Yishun,2015,8,7,2.2,2,2,2,—,—,—,—,—
Yishun,2015,8,8,2,2,2,2,—,—,—,—,—
Yishun,2015,8,9,9.8,8.2,9.4,9.4,—,—,—,—,—
Yishun,2015,8,10,0.2,0,0,0,—,—,—,—,—
Yishun,2015,8,11,14.2,11,11.6,11.6,—,—,—,—,—
Yishun,2015,8,12,3,1.2,1.2,1.4,—,—,—,—,—
Yishun,2015,8,13,0,0,0,0,—,—,—,—,—
Yishun,2015,8,14,0,0,0,0,—,—,—,—,—
Yishun,2015,8,15,0,0,0,0,—,—,—,—,—
Yishun,2015,8,16,0,0,0,0,—,—,—,—,—
Yishun,2015,8,17,0,0,0,0,—,—,—,—,—
Yishun,2015,8,18,0,0,0,0,—,—,—,—,—
Yishun,2015,8,19,0,0,0,0,—,—,—,—,—
Yishun,2015,8,20,0,0,0,0,—,—,—,—,—
Yishun,2015,8,21,7.6,7,7.6,7.6,—,—,—,—,—
Yishun,2015,8,22,0,0,0,0,—,—,—,—,—
Yishun,2015,8,23,0,0,0,0,—,—,—,—,—
Yishun,2015,8,24,0,0,0,0,—,—,—,—,—
Yishun,2015,8,25,16.4,9.6,13.8,16.4,—,—,—,—,—
Yishun,2015,8,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Yishun,2015,8,27,0,0,0,0,—,—,—,—,—
Yishun,2015,8,28,0,0,0,0,—,—,—,—,—
Yishun,2015,8,29,0,0,0,0,—,—,—,—,—
Yishun,2015,8,30,1.2,1.2,1.2,1.2,—,—,—,—,—
Yishun,2015,8,31,0,0,0,0,—,—,—,—,—
