,WeatherStationName,Latitude,Longitude,x_coord,y_coord,region
0,Paya Lebar ,1.3524,103.9007,35498.8288766,37167.2144886,EAST
1,Macritchie Reservoir ,1.3417,103.8338,28053.6140447,35983.9591521,NORTH
2,Lower Peirce Reservoir ,1.3701,103.8271,27307.9846555,39124.2871398,NORTH
3,Tengah ,1.3858,103.7114,14432.0557247,40860.6616466,WEST
4,Changi ,1.3678,103.9826,44613.2843986,38870.480461,EAST
5,Seletar ,1.4166,103.8654,31570.2405941,44266.0452822,NORTH-EAST
6,Pasir Ris (West) ,1.3863,103.9412,40005.8575464,40915.8732889,EAST
7,Kampong Bahru ,1.2745,103.828,27408.1210406,28553.3295322,CENTRAL
8,Jurong Pier ,1.3081,103.71,14275.8186217,32268.9807786,WEST
9,Ulu Pandan ,1.3329,103.7556,19350.7670925,35011.0367029,WEST
10,Serangoon ,1.3382,103.8657,31603.7440276,35596.9708176,CENTRAL
11,Jurong (East) ,1.3262,103.7354,17102.6857039,34270.2641251,WEST
12,Mandai ,1.4036,103.7898,23157.0144597,42828.5913495,NORTH
13,Tai Seng ,1.3399,103.8878,34063.2348322,35784.9917281,NORTH-EAST
14,Jurong (West) ,1.3455,103.6806,11004.118477,36404.6756859,WEST
15,Upper Thomson ,1.3416,103.8106,25471.7050186,35972.9134096,NORTH
16,Ang Mo Kio ,1.3764,103.8492,29767.4421584,39820.914066,NORTH-EAST
17,Clementi ,1.3337,103.7768,21710.1096752,35099.4323435,CENTRAL
18,Admiralty ,1.4439,103.7854,22667.4471523,47284.7734331,NORTH
19,Buangkok ,1.3837,103.886,33862.8082804,40628.1701579,NORTH-EAST
20,Sentosa Island ,1.25,103.8279,27396.9861682,25844.2465844,CENTRAL
21,Boon Lay (West) ,1.3275,103.7042,13630.4423251,34414.1710672,WEST
22,Bukit Panjang ,1.3824,103.7603,19873.9938366,40484.482677,WEST
23,Kranji Reservoir ,1.4387,103.7363,17203.3550005,46709.956897,NORTH
24,Tanjong Pagar ,1.274,103.8482,29656.2225159,28498.0462781,CENTRAL
25,Admiralty (West) ,1.4582,103.7953,23769.1894141,48865.9752831,NORTH
26,Queenstown ,1.2937,103.8125,25683.1101894,30676.3752368,CENTRAL
27,Tanjong Katong ,1.307,103.8907,34386.0579572,32147.0840969,CENTRAL
28,Chai Chee ,1.3277,103.9203,37680.1861385,34436.0810481,EAST
29,Upper Peirce Reservoir ,1.37,103.805,24848.5222948,39113.2473862,NORTH
30,Kent Ridge ,1.2923,103.7815,22233.0758311,30521.6197896,CENTRAL
31,Somerset ,1.3004,103.8372,28432.0043453,31417.2175094,CENTRAL
32,Sembawang ,1.4252,103.8202,26540.1323493,45216.9694039,NORTH
33,Punggol ,1.4029,103.9092,36444.6057127,42751.2806618,NORTH-EAST
34,Tuas West ,1.3247,103.6351,5940.25941963,34105.0685343,WEST
35,Simei ,1.3437,103.9444,40362.194523,36205.3898561,EAST
36,Boon Lay (East) ,1.3302,103.7205,15444.4839871,34712.6350665,WEST
37,Toa Payoh ,1.3415,103.8519,30067.9483137,35961.8520083,CENTRAL
38,Tuas ,1.3199,103.6616,8889.42155442,33574.0866488,WEST
39,Bukit Timah ,1.3191,103.8191,26417.6487448,33484.9715152,CENTRAL
40,Yishun ,1.4301,103.8308,27719.7569717,45758.7827221,NORTH
41,Buona Vista ,1.2841,103.7886,23023.2288981,29614.8908307,CENTRAL
42,Pasir Ris Central ,1.3679,103.9489,40862.8686802,38881.3310747,EAST
43,Jurong (North) ,1.3505,103.7134,14654.4354392,36957.3474036,WEST
44,Semakau Island ,1.189,103.768,20730.359589,19099.2704725,WEST
45,Pulau Ubin ,1.4168,103.9673,42910.2651882,44288.5665333,NORTH-EAST
46,East Coast Parkway ,1.3148,103.9637,42510.2473297,33009.8738172,EAST
47,Marina Barrage ,1.2799,103.8703,32115.7700724,29150.4626315,CENTRAL
48,Choa Chu Kang (West) ,1.3746,103.6938,12473.3241168,39622.3269326,WEST
49,Serangoon North ,1.3606,103.8697,32048.8644168,38073.855127,NORTH-EAST
50,Newton ,1.3106,103.8365,28354.0992161,32545.0808949,CENTRAL
51,Lim Chu Kang ,1.4385,103.7013,13308.383675,46688.0373284,NORTH
52,Marine Parade ,1.3065,103.9107,36611.8756707,32091.8563133,EAST
53,Choa Chu Kang (Central) ,1.3819,103.7386,17459.0544355,40429.2804356,WEST
54,Tuas South ,1.2938,103.6184,4081.41243448,30688.4362405,WEST
55,Pasir Panjang ,1.281,103.754,19172.5223702,29272.2019493,CENTRAL
56,Jurong Island ,1.2542,103.6741,10280.1007983,26309.1991486,WEST
57,Dhoby Ghaut ,1.2994,103.8461,29422.4949263,31306.6459224,CENTRAL
58,Nicoll Highway ,1.3011,103.8666,31703.9592991,31494.6439788,CENTRAL
59,Botanic Garden ,1.3087,103.818,26295.2224778,32334.9936608,CENTRAL
60,Choa Chu Kang (South) ,1.3729,103.7224,15656.1504299,39434.1823373,WEST
61,Khatib ,1.4173,103.8249,27063.1700057,44343.4247708,NORTH
62,Whampoa ,1.3214,103.8577,30713.4475892,33739.302474,CENTRAL
